goods_simpl_classification,nbr_occurences_simpl,hamburg_classification,obsolete,nbr_occurences_hamburg
câpres d'Espagne,1,,non,442903
câpres et cornichons au vinaigre,5,,non,442903
câpres et olive,1,,non,442903
câpres et olives,1,,non,442903
câpres fines,4,,non,442903
câpres gousses,1,,non,442903
câpres grosses,1,,non,442903
câpres marinées,5,,non,442903
câpres non marinées,4,,non,442903
câpres salées et au vinaigre,1,,non,442903
capris,4,,non,442903
capsliattes,6,,non,442903
caput mortum,2,,non,442903
carabé,37,,non,442903
carabé jaune,1,,non,442903
carabine à air comprimé,2,,non,442903
caractères à imprimerie,123,,non,442903
caractères à imprimerie de plomb,3,,non,442903
caractères à imprimerie en langue allemande,2,,non,442903
caractères à imprimerie en langue française,2,,non,442903
caractères à imprimerie hors d'usage,5,,non,442903
caractères à imprimerie neufs,4,,non,442903
carafes de verre,1,,non,442903
carafes de verre blanc,1,,non,442903
caramel,1,,non,442903
carants et lanjents,1,,non,442903
caraterie,1,,non,442903
carbonate d'ammoniaque,4,,non,442903
carbonate de magnésie,7,,non,442903
carbonate de plomb mélangé ou pur,5,Plomb,non,3539
carbonate de plomb très pur,3,Plomb,non,3539
carcajou,1,,non,442903
carcasse,2,,non,442903
carcasse à peu de soie,2,,non,442903
carcasses et parapluies,0,,oui,442903
cardage,1,,non,442903
cardamome,64,,non,442903
cardes,9,,non,442903
cardes à carder,328,,non,442903
cardes à carder neuves,2,,non,442903
cardes à carder vieilles,1,,non,442903
cardes à drapier,1,,non,442903
cardes de bois et de fil de fer,1,,non,442903
cardes de chanvre,1,,non,442903
cardes et cardons champêtres,1,,non,442903
cardes neuves,5,,non,442903
cardes vieilles,17,,non,442903
cardilletrie,3,,non,442903
cardines,10,,non,442903
cardines de bois,5,,non,442903
cardines de sapin,1,,non,442903
cardon,7,,non,442903
cardons,0,,oui,442903
cards à carder,0,,oui,442903
caret,35,,non,442903
cargaison,2,,non,442903
caril,2,,non,442903
carillon de fer,4,,non,442903
carisé,17,,non,442903
carisé blanc,2,,non,442903
carisé des prises,1,,non,442903
carisé teint,2,,non,442903
carisel,2,,non,442903
carisel ou creseau,7,,non,442903
carives vieilles,2,,non,442903
carlé,2,,non,442903
carmin,10,,non,442903
carmin commun,3,,non,442903
carmin fin,2,,non,442903
carnasse,16,,non,442903
carnifié,1,,non,442903
carny,2,,non,442903
carols,1,,non,442903
caroots,2,,non,442903
carots,0,,oui,442903
carotte,7,,non,442903
carotte d'enfant,1,,non,442903
carottes,4,,non,442903
carou,1,,non,442903
carouge,142,,non,442903
carouges,0,,oui,442903
carpe et tanche,1,,non,442903
carpeaux alevins,5,,non,442903
carpes,27,,non,442903
carpes de stockfish,1,,non,442903
carpes et brochets,1,,non,442903
carpette,4,,non,442903
carrabe,2,,non,442903
carré,61,,non,442903
carré de fer plat,12,,non,442903
carreaux,6,,non,442903
carreaux ???,1,,non,442903
carreaux à dentelle,4,,non,442903
carreaux à paver,20,,non,442903
carreaux à paver de pierre,7,,non,442903
carreaux à paver de terre,4,,non,442903
carreaux à vitres,1,,non,442903
carreaux bleus,2,,non,442903
carreaux briques et tuiles,2,,non,442903
carreaux d'ardoise,6,,non,442903
carreaux d'Île de France,1,,non,442903
carreaux de Bidache,12,,non,442903
carreaux de Bidache de pierre,9,,non,442903
carreaux de brique,42,,non,442903
carreaux de dentelle,1,,non,442903
carreaux de faïence,33,,non,442903
carreaux de genièvre,1,,non,442903
carreaux de marbre,155,,non,442903
carreaux de marbre à paver,1,,non,442903
carreaux de marbre bâtard,1,,non,442903
carreaux de marbre gros,1,,non,442903
carreaux de marbre ouvrés,4,,non,442903
carreaux de marbre pour le Roi,1,,non,442903
carreaux de meulage,0,,oui,442903
carreaux de moulage,1,,non,442903
carreaux de pierre,46,,non,442903
carreaux de pierre de Bidache,1,,non,442903
carreaux de pierre de terre,1,,non,442903
carreaux de pierre noire,1,,non,442903
carreaux de sera,2,,non,442903
carreaux de Suède,1,,non,442903
carreaux de terre,349,,non,442903
carreaux de terre cuite,17,,non,442903
carreaux de terre d'or pied demi en carré,1,,non,442903
carreaux de terre et tuiles bombées,8,,non,442903
carreaux de terre grands,2,,non,442903
carreaux de verre,15,,non,442903
carreaux de verre à vitre,16,,non,442903
carreaux démoulés,1,,non,442903
carreaux des prises,1,,non,442903
carreaux en nombre,1,,non,442903
carreaux meulage de Brie,1,,non,442903
carreaux meulage de France,2,,non,442903
carreaux moulage,4,,non,442903
carreaux moulage de Brie,7,,non,442903
carreaux moulage de France,8,,non,442903
carreaux noirs,3,,non,442903
carreaux rouges,10,,non,442903
carrelet,1,,non,442903
carres,2,,non,442903
carriole d'enfant,1,,non,442903
carrole et crouge,1,,non,442903
carrosses,38,,non,442903
carrosses et harnais,1,,non,442903
carrosses grands montés sur leur train et harnais riche,1,,non,442903
carrosses neufs,1,,non,442903
carrosses usés,1,,non,442903
carrosses vieux,1,,non,442903
carrouges,0,,oui,442903
carrue,1,,non,442903
cartager,1,,non,442903
cartame,1,,non,442903
cartes,8,,non,442903
cartes à chaperonier,1,,non,442903
cartes à chaperonnier,0,,oui,442903
cartes à jouer,672,,non,442903
cartes de géographie sur toile,1,,non,442903
cartes de la Martinique,1,,non,442903
cartes des côtes d'Angleterre,1,,non,442903
cartes géographiques,98,,non,442903
cartes géographiques de la Chine,1,,non,442903
cartes géométriques,1,,non,442903
cartes marines,33,,non,442903
cartes marines de pêches,1,,non,442903
carthame,7,,non,442903
cartignette,1,,non,442903
carton,114,,non,442903
carton à drapier,1,,non,442903
carton assemblé et coupé,2,,non,442903
carton en feuilles et lustré à presser le drap,2,,non,442903
carton lustré à presser le drap,2,,non,442903
carton lustré pour presser les draps,0,,oui,442903
carton moulé,6,,non,442903
carton peint,1,,non,442903
cartouches,1,,non,442903
caruane,1,,non,442903
carubis,69,,non,442903
carvi,1,,non,442903
carzé,1,,non,442903
casaques,15,,non,442903
casaques à nègre,14,,non,442903
casaques de froc,1,,non,442903
casaques de laine,1,,non,442903
casaques de peau,2,,non,442903
casaques du cuir,1,,non,442903
casaques et camisoles,0,,oui,442903
casaques pour matelot,1,,non,442903
casaquin,3,,non,442903
cascarilles,43,,non,442903
casimir,6,,non,442903
casimir de laine,9,,non,442903
casimir de laine et mérinos,1,,non,442903
casimir et mérinos fin de laine,23,,non,442903
casimir fin de laine,10,,non,442903
casimirs et mérinos de laine,1,,non,442903
casques,5,,non,442903
casques à nègre,1,,non,442903
casques et cuirasses,1,,non,442903
cassave,4,,non,442903
casse,104,,non,442903
casse de fer,3,,non,442903
casse de laiton,1,,non,442903
casse des entrepôts,1,,non,442903
casse en baton,2,,non,442903
casse étoffe,4,,non,442903
casse garnie,1,,non,442903
cassedis,1,,non,442903
casseroles de fer,1,,non,442903
cassi matia,1,,non,442903
cassia fistula,2,,non,442903
cassia lignea,146,,non,442903
cassia sèche,1,,non,442903
cassin bazas,1,,non,442903
cassis,1,,non,442903
cassoles,2,,non,442903
cassonade,197,,non,442903
cassonade des Îles,14,,non,442903
cassube,2,,non,442903
castalogne,19,,non,442903
castine et spath,2,,non,442903
castor,9,,non,442903
castor blanc,1,,non,442903
castor bordé d'argent et d'or,1,,non,442903
castor gras,25,,non,442903
castor sec,27,,non,442903
castoreum,29,,non,442903
castoréum civette musc,0,,oui,442903
castoreum du ???,1,,non,442903
castoreune du ???,0,,oui,442903
castus doux,1,,non,442903
catadarits,1,,non,442903
Catalogne de laine,1,,non,442903
Catalogne de poil,2,,non,442903
catéchismes,1,,non,442903
catequin,2,,non,442903
catlas,2,,non,442903
caubrune,1,,non,442903
cauride,1,,non,442903
caurie,1,,non,442903
caurier,1,,non,442903
cauris,315,,non,442903
cauris de retour,1,,non,442903
cauris des Indes,1,,non,442903
cauris pour la traite,1,,non,442903
cauris salés et verts,1,,non,442903
cauris vernis,1,,non,442903
causels de bar,10,,non,442903
causels de bois,2,,non,442903
causse de corde,1,,non,442903
cautardes,1,,non,442903
cavelle,12,,non,442903
cavelle de bois,2,,non,442903
cavelle pour tonneaux,1,,non,442903
caves,14,,non,442903
caves à main,1,,non,442903
caves à tabac,2,,non,442903
caves de ??? flacons,1,,non,442903
caves de 10 flacons,1,,non,442903
caves de 12 flacons,36,,non,442903
caves de 15 flacons,3,,non,442903
caves de 21 flacons,1,,non,442903
caves de 29 flacons,1,,non,442903
caves de 6 flacons,100,,non,442903
caves de 6 flacons pour eau-de-vie,1,,non,442903
caves de 7 flacons,1,,non,442903
caves de 8 flacons,2,,non,442903
caves de 9 flacons,62,,non,442903
caves de flacons,12,,non,442903
caves et canevettes de 6 flacons,3,,non,442903
caves files,1,,non,442903
caves garnies,127,,non,442903
caves garnies de 10 flacons,0,,oui,442903
caves garnies de 12 flacons,0,,oui,442903
caves garnies de 15 flacons,0,,oui,442903
caves garnies de 29 flacons,0,,oui,442903
caves garnies de 6 flacons,0,,oui,442903
caves garnies de 7 flacons,0,,oui,442903
caves garnies de 8 flacons,0,,oui,442903
caves garnies de 9 flacons,0,,oui,442903
caves garnies de flacon,0,,oui,442903
caves garnies de flacons,6,,non,442903
caves garnies de flacons de cristal,1,,non,442903
caves garnies de leurs flacons,2,,non,442903
caves non garnies de flacons,1,,non,442903
caves ou flacons,1,,non,442903
cavettes de bois,3,,non,442903
cavettes de grès,4,,non,442903
cavial,2,,non,442903
caviers de terre,1,,non,442903
cavizé,1,,non,442903
cayette,1,,non,442903
cazé,1,,non,442903
cazin bazar,1,,non,442903
ceaustatille étoffe,1,,non,442903
cédrat,108,,non,442903
cédrat frais,1,,non,442903
cédrat zestes confits,1,,non,442903
cèdre,5,,non,442903
ceintures,12,,non,442903
ceintures brodées,1,,non,442903
ceintures brodées de soie,1,,non,442903
ceintures d'argent et d'or,1,,non,442903
ceintures d'argent fin,1,,non,442903
ceintures d'épée,1,,non,442903
ceintures de coton,7,,non,442903
ceintures de cuir,1,,non,442903
ceintures de laine,34,,non,442903
ceintures de laine et de fil,1,,non,442903
ceintures de prêtre,0,,oui,442903
ceintures de robe de chambre,2,,non,442903
ceintures de soie,18,,non,442903
ceintures marines,1,,non,442903
ceintures pour matelot,1,,non,442903
ceintures pour prêtre,1,,non,442903
ceinturons,25,,non,442903
ceinturons brodés,1,,non,442903
ceinturons brodés d'argent,1,,non,442903
ceinturons brodés d'or,1,,non,442903
ceinturons de buffle,3,,non,442903
ceinturons de chamois,1,,non,442903
ceinturons de coton,1,,non,442903
ceinturons de cuir,1,,non,442903
ceinturons de laine,1,,non,442903
ceinturons de peau,1,,non,442903
ceinturons de soie,8,,non,442903
ceinturons et bandoulières,1,,non,442903
ceinturons et bandoulières et gibernes,2,,non,442903
ceinturons piqués,1,,non,442903
ceinturons pour épée,1,,non,442903
ceinturons unis,2,,non,442903
céleris,1,,non,442903
cendaline,3,,non,442903
cendre,270,,non,442903
cendre ???,2,,non,442903
cendre à engraisser,1,,non,442903
cendre à fumer,5,,non,442903
cendre à fumer terre,29,,non,442903
cendre à houille,1,,non,442903
cendre à orfèvre,24,,non,442903
cendre à savon,2,,non,442903
cendre barille,1,,non,442903
cendre barille de pierre,0,,oui,442903
cendre barille et fonde,0,,oui,442903
cendre blanche,1,,non,442903
cendre bleue,76,,non,442903
cendre bleue et verte,5,,non,442903
cendre bourde,251,,non,442903
cendre broyée à l'huile,1,,non,442903
cendre calcinée,2,,non,442903
cendre caleinée,0,,oui,442903
cendre cassant,4,,non,442903
cendre casseaux,31,,non,442903
cendre commune,260,,non,442903
cendre d'Angleterre,1,,non,442903
cendre d'Égypte,1,,non,442903
cendre d'os,1,,non,442903
cendre de barille,15,,non,442903
cendre de barille en pierre,2,,non,442903
cendre de barille et fonde,1,,non,442903
cendre de bois,26,,non,442903
cendre de bois commune,1,,non,442903
cendre de bois vive,3,,non,442903
cendre de chaux,14,,non,442903
cendre de courbe,3,,non,442903
cendre de cuivre,1,,non,442903
cendre de Damas,1,,non,442903
cendre de fonde,6,,non,442903
cendre de frène,1,,non,442903
cendre de grignon,3,,non,442903
cendre de griguonia,3,,non,442903
cendre de houille,29,,non,442903
cendre de lessive,3,,non,442903
cendre de Lyon,1,,non,442903
cendre de Malte,3,,non,442903
cendre de mer,9,,non,442903
cendre de monnaie,1,,non,442903
cendre de natron,1,,non,442903
cendre de paille et de tourbe,1,,non,442903
cendre de plomb,40,,non,442903
cendre de potasse,0,Potasse,oui,708
cendre de Sicile,27,,non,442903
cendre de tabac,2,,non,442903
cendre de tourbe,5,,non,442903
cendre de varech,10,,non,442903
cendre de varet,6,,non,442903
cendre de védasse,0,,oui,442903
cendre de verre,5,,non,442903
cendre de vitarch,1,,non,442903
cendre des rois,1,,non,442903
cendre dite soude,0,,oui,442903
cendre du Levant,8,,non,442903
cendre gravelée,0,,oui,442903
cendre houille,0,,oui,442903
cendre lessivée,2,,non,442903
cendre menuisée,1,,non,442903
cendre poland,1,,non,442903
cendre polasse,0,,oui,442903
cendre poreuse,5,,non,442903
cendre potasse et védasse et gravelée,0,Potasse,oui,708
cendre pour manufactures,42,,non,442903
cendre pour nettoyer les pots,1,,non,442903
cendre pour verrerie,1,,non,442903
cendre salicor,1,,non,442903
cendre saline,2,,non,442903
cendre salins,0,,oui,442903
cendre soudes,0,,oui,442903
cendre soudes d'Égypte ou Natrum,1,,non,442903
cendre soudes et natron et salin,0,,oui,442903
cendre soudes et potasse,0,Potasse,oui,708
cendre tourbe,0,,oui,442903
cendre verte,9,,non,442903
censes de bâtiments,2,,non,442903
censes de bois,0,,oui,442903
censes pour nettoyer les pots,0,,oui,442903
cercles,4,,non,442903
cercles à barils,48,,non,442903
cercles à barriques,11,,non,442903
cercles à bobillons,3,,non,442903
cercles à bottes,2,,non,442903
cercles à panier,0,,oui,442903
cercles à paniers,2,,non,442903
cercles à pipes,13,,non,442903
cercles à quart,1,,non,442903
cercles à relier,4,,non,442903
cercles à tamis,54,,non,442903
cercles à tamis dits standrepen,1,,non,442903
cercles à tonneaux,279,,non,442903
cercles communs,1,,non,442903
cercles d'osier,5,,non,442903
cercles de 10 à 12 pieds,1,,non,442903
cercles de 12 à 16 pieds,1,,non,442903
cercles de 7 à 11 pieds,1,,non,442903
cercles de 8 à 10 pieds,1,,non,442903
cercles de 9 à 12 pieds,1,,non,442903
cercles de bois,612,,non,442903
cercles de bois à quarts,1,,non,442903
cercles de bois à tonneaux,20,,non,442903
cercles de bois de barrique,0,,oui,442903
cercles de bois et feuillard de bois,40,,non,442903
cercles de bois et osier,1,,non,442903
cercles de bois pour barils,2,,non,442903
cercles de bois pour barriques,3,,non,442903
cercles de bois pour bobillons,1,,non,442903
cercles de bois pour la mire,1,,non,442903
cercles de bois pour pipes,2,,non,442903
cercles de bois pour tamis,1,,non,442903
cercles de bois pour tanier,2,,non,442903
cercles de cuivre de poil,1,,non,442903
cercles de demitte,1,,non,442903
cercles de faux,1,,non,442903
cercles de fer,432,,non,442903
cercles de fer et feuillardes de fer,3,,non,442903
cercles de fers,3,,non,442903
cercles de feuillards,2,,non,442903
cercles de feullards,0,,oui,442903
cercles de jonc,7,,non,442903
cercles de tamis,0,,oui,442903
cercles et feuillards,1,,non,442903
cercles ocloir,0,,oui,442903
cercles pour barriques de bois,1,,non,442903
cercles pour bobillons de bois,0,,oui,442903
cercocole,1,,non,442903
cerf-volant,1,,non,442903
cerises,25,,non,442903
cerneaux,1,,non,442903
céruse,888,,non,442903
céruse et blanc de plomb,12,,non,442903
cervelas,89,,non,442903
cervelas salées et cuisses d'oie salées et langues salèes,4,,non,442903
cevadille,0,,oui,442903
cévadille,9,,non,442903
chaconas,0,,oui,442903
chades,1,,non,442903
chafarcany,4,,non,442903
chagrin,3,,non,442903
chagrin de soie,4,,non,442903
chaînes de fer,38,,non,442903
chaînes de laiton,1,,non,442903
chaînes de montres,2,,non,442903
chaînes de montres serties d'or,1,,non,442903
chair,4,,non,442903
chair ???,1,,non,442903
chair cuite,1,,non,442903
chair de bœuf,5,,non,442903
chair de boucherie,6,,non,442903
chair de gibier et de volailles,8,,non,442903
chair de morue,1,,non,442903
chair de porcs,7,,non,442903
chair de porcs salée,0,,oui,442903
chair de volaille et chair de gibier,28,,non,442903
chair et lard enfumé et salé,1,,non,442903
chair et lard frais,1,,non,442903
chair et poisson,1,,non,442903
chair fraîche,3,,non,442903
chair fraîche et salée,15,,non,442903
chair fumée,29,,non,442903
chair salée,872,,non,442903
chair salée de jambon de porcs,1,,non,442903
chair salée de porcs,25,,non,442903
chair salée et chair fraîche,198,,non,442903
chair salée ou lard,1,,non,442903
chaise garnie de cannes,1,,non,442903
chaise garnie de maroquin,1,,non,442903
chaises,9,,non,442903
chaises à deux roues,1,,non,442903
chaises à porteur,5,,non,442903
chaises à rouler les enfants,2,,non,442903
chaises communes,2,,non,442903
chaises d'enfant,1,,non,442903
chaises de bois,16,,non,442903
chaises de bois de sapin,1,,non,442903
chaises de canne,52,,non,442903
chaises de commodité,177,,non,442903
chaises de commodité et leurs pots,6,,non,442903
chaises de commodité et leurs pots de faïence,1,,non,442903
chaises de fer,7,,non,442903
