marchandises_simplification,classification_hamburg_large,obsolete
cuirs corroyés,,non
cuirs corroyés de vache,,non
cuirs corroyés et tannés,,non
cuirs crus et à poil,,non
cuirs d'alun jaunes,,oui
cuirs d'Amérique d'Afrique et de Barbarie en poil,,non
cuirs d'âne,,non
cuirs d'âne en poil,,non
cuirs d'empeignes,,non
cuirs d'Espagne,,non
cuirs d'Espagne dit maroquins,,non
cuirs d'Irlande,,non
cuirs de accoutrées vache,,non
cuirs de bœuf,,non
cuirs de bœuf apprêtés,,non
cuirs de bœuf apprêtés demi pièce,,non
cuirs de bœuf apprêtés et tannés,,non
cuirs de bœuf au poil,,non
cuirs de bœuf corroyés,,non
cuirs de bœuf d'Illinois,,non
cuirs de bœuf en poil,,non
cuirs de bœuf en poil et cuir de vache en poil,,non
cuirs de bœuf en poil et secs,,non
cuirs de bœuf en poil tannés,,non
cuirs de bœuf et vache apprêtés,,non
cuirs de bœuf ou vache,,non
cuirs de bœuf salé,,non
cuirs de bœuf tannés,,non
cuirs de bœuf tannés et cuir de vache tannés,,non
cuirs de bœuf vert,,non
cuirs de Bosan,,oui
cuirs de buffle,,non
cuirs de buffle en poil,,non
cuirs de cerf,,oui
cuirs de cerf en poil,,non
cuirs de cheval,,non
cuirs de cheval en poil,,non
cuirs de cheval tannés,,non
cuirs de chèvre,,oui
cuirs de fer et en poil,,non
cuirs de génisse,,non
cuirs de génisse corroyés,,non
cuirs de génisse en poil,,non
cuirs de génisse tannés,,non
cuirs de Hongrie,,non
cuirs de loup,,non
cuirs de moscovie,,non
cuirs de poil,,non
cuirs de poil et salés,,non
cuirs de porc,,oui
cuirs de Prusse,,non
cuirs de Russie,,non
cuirs de Russie de vache,,non
cuirs de Sardaigne de vache,,non
cuirs de secs en poil,,non
cuirs de Turqie,,non
cuirs de vache,,non
cuirs de vache apprêtés,,non
cuirs de vache en poil,,non
cuirs de vache lissés,,non
cuirs de vache passés,,non
cuirs doré vieux,,non
cuirs dorés,,non
cuirs en basannes,,non
cuirs en bassin,,non
cuirs en blanc,,non
cuirs en croûte de vache,,non
cuirs en échantillons,,non
cuirs en grain,,non
cuirs en grains de vache,,non
cuirs en poil,,non
cuirs en poil de vache,,non
cuirs en poil salés verts,,non
cuirs en poil tannés,,non
cuirs en poil verts,,non
cuirs en retail,,non
cuirs en rognures,,non
cuirs épais,,oui
cuirs et peaux,,oui
cuirs et peaux de bœuf et de vache apprêté,,non
cuirs et peaux non apprêtés,,non
cuirs fins,,oui
cuirs forts,,non
cuirs forts tannés,,non
cuirs génisse corroyés,,non
cuirs jaunes,,non
cuirs maroquins,,oui
cuirs non apprêtés,,non
cuirs passés en blanc,,non
cuirs petits des Indes en poil,,non
cuirs pour bottes,,non
cuirs pour semelles,,non
cuirs pour soufflets,,non
cuirs rouges,,non
cuirs salés,,non
cuirs salés de poil,,non
cuirs salés verts,,non
cuirs séchés,,oui
cuirs secs,,non
cuirs secs en poil,,non
cuirs secs en poil de vache,,non
cuirs secs et salés,,non
cuirs tannées forts,,non
cuirs tannés,,non
cuirs tannés de vache,,non
cuirs tannés pour empeignes,,non
cuirs tannés pour semelles,,non
cuirs tissés de vache,,non
cuirs verts,,non
cuirs vieux,,non
cuisse d'oie,,non
cuisse d'oie salée,,non
cuisses,,non
cuisses d'oie,,non
cuisses d'oye,,non
cuivre,,non
cuivre à chaudron,,oui
cuivre à cloches,,oui
cuivre à couvertures,,oui
cuivre à mitraille,,non
cuivre à monnayer rouge,,non
cuivre argenté,,non
cuivre argenté et doré,,non
cuivre argenté et doré et plaqué,,non
cuivre argenté flambeaux,,non
cuivre battu,,non
cuivre bronzé,,non
cuivre brun,,non
cuivre brun et cuivre rouge,,non
cuivre brut,,non
cuivre brut en pain,,non
cuivre brut et rouge,,non
cuivre clous,,non
cuivre commune,,non
cuivre crû,,non
cuivre crû en bloc,,non
cuivre cru en masse,,non
cuivre cru ou en plates,,non
cuivre d'argent et doré,,non
cuivre de fer,Fer,non
cuivre de fer en poids,Fer,non
cuivre de fourrure,,non
cuivre de Hongrie,,oui
cuivre de Namur,,non
cuivre de pompe,,non
cuivre de Russie,,non
cuivre doré,,non
cuivre en chaudron,,non
cuivre en coupe,,non
cuivre en lancher,,non
cuivre en mitraille et vieux,,non
cuivre en pain,,non
cuivre en plats,,non
cuivre et bronze et laiton,,non
cuivre et pièce de cuivre,,non
cuivre fine,,oui
cuivre forgé,,non
cuivre fumée,,oui
cuivre jaune,,non
cuivre jaune avec calamine,,non
cuivre jaune brun,,non
cuivre jaune brut,,non
cuivre jaune et rouge,,non
cuivre jaune fondu,,non
cuivre jaune non ouvré,,non
cuivre laminé,,non
cuivre neuf,,non
cuivre non ouvré rouge,,non
cuivre potier,,non
cuivre rompu,,non
cuivre rosette,,non
cuivre rouge,,non
cuivre rouge brut,,non
cuivre rouge crü ou en bloc pour Namur,,non
cuivre rouge neuf,,non
cuivre satin,,non
cuivre sur poil,,non
cuivre tangoul,,non
cuivre vieux,,non
cuivrerie,,non
culottes,,non
culottes à nègre,,non
culottes de bouras,,non
culottes de chamois,,non
culottes de chamois garnies de boutons d'argent,,non
culottes de cotonnades,,non
culottes de coutil,,non
culottes de daim,,non
culottes de drap,,non
culottes de fil,,non
culottes de laine,,non
culottes de laine tricotées,,non
culottes de mouton,,non
culottes de peau,,non
culottes de peau d'élan,,non
culottes de peau de daim,,non
culottes de siamoise,,non
culottes de toile,,non
culottes de velours,,non
culottes tricotées,,oui
culottte de peau de mouton,,non
culs d'artichaut,,non
cumin,,non
cunier,,non
cuny,,non
curcuma,,non
curiosité naturelle,,non
curlas,,non
curous,,non
curtas,,non
cuscutes luzerne,,non
custar,,non
custas,,non
cuve,,non
cuve à vin,,non
cuvette de faïence,,non
cuvette de fer-blanc,Fer,non
cuvier,,non
cuvier de terre,,non
cygne en vie,,non
cygnes,,non
cylindre,,non
cylindre de fer,Fer,non
cylindre en cuivre,,oui
dais,,non
dais pour église,,non
dalle,,non
dalle en céramique dure,,oui
damas,,non
Damas,,non
damas à frange d'argent,,non
damas cafard,,non
Damas commun,,non
Damas cramoisi,,non
Damas de deux couleurs,,non
damas de faux,,non
Damas de fil,,non
Damas de Gênes cramoisi,,non
Damas de Luques,,non
Damas de Lyon,,non
Damas de soie,,non
Damas de Tours,,non
Damas des deux couleurs,,non
Damas étoffe,,oui
Damas fil et coton,,non
damasquette,,non
damassé de laine,,oui
dame-jeanne de verre,,non
dame-jeannes,,non
dame-jeannes clissées,,non
dame-jeannes clissées et de verres,,non
dame-jeannes cuivré et de verres,,non
dame-jeannes de grès,,non
dame-jeannes de verre,,non
dame-jeannes de verres,,non
dame-jeannes non clissées,,non
dame-jeannes vides,,non
damoiselle de bois,,non
dareau de laine,,non
darins,,non
datte et pistache,,non
dattes,,non
dattes sèches,,non
dattes secs et prunes sèches,,non
dauphine,,non
dauphine de laine,,non
de haut,,non
de peu de valeur,,non
de tafia,,non
de ville,,non
debris de vaisseau et vieux ouvrages de charpente,,non
déchet de cuir,,oui
déchet de pierre,,non
déchet de succin,,oui
décorations pour carrosses,,non
dégras,,non
dégras d'huile,,non
degras de peau,,non
déjeuner de vermeil,,non
demi Guinée bleue,,non
demi-barriques cerclées de fer,Fer,non
demi-cuirs de bœuf tannés,,non
demi-planchs,,non
demille,,non
demitte,,non
demoiselle,,non
demoiselle de sapin,,non
denrée divers,,non
denrées alimentaires,,oui
denrées coloniales,,non
denrées coloniales et épicerie,,non
dent de vache marine,,non
dentelle,,non
dentelle à peu de soie,,non
dentelle blanche,,non
dentelle blonde de soie,,non
dentelle commune,,non
dentelle d'Alençon,,non
dentelle d'Andelys,,non
dentelle d'argent,,non
dentelle d'argent et d'or,,non
dentelle d'argent et d'or faux,,non
dentelle d'argent faux,,non
dentelle d'argent fin,,non
dentelle d'or,,non
dentelle d'or et d'argent,,non
dentelle d'or et d'argent faux,,non
dentelle d'or et d'argent fin,,non
dentelle d'or faux,,non
dentelle d'or fin,,non
dentelle de Caen,,non
dentelle de coton et blonde de coton,,non
dentelle de fer,Fer,non
dentelle de fil,,non
dentelle de fil blanc,,non
dentelle de fil blanc commune,,non
dentelle de fil blanc de Lille,,non
dentelle de fil commune,,non
dentelle de fil d'Alençon,,non
dentelle de fil d'or faux,,non
dentelle de fil d'or fin,,non
dentelle de fil de ??? et Reims,,non
dentelle de fil de Bergame,,non
dentelle de fil de Caen,,non
dentelle de fil de crin,,non
dentelle de fil de Flandre,,non
dentelle de fil de laine,,non
dentelle de fil de Lille,,non
dentelle de fil de lin,,non
dentelle de fil de Normandie,,non
dentelle de fil de soie,,non
dentelle de fil de tulle,,non
dentelle de fil dorure d'argent,,non
dentelle de fil du Puy,,non
dentelle de fil du Puy et ???,,non
dentelle de fil et de soie,,non
dentelle de fil et soie,,non
dentelle de fil et Valenciennes,,non
dentelle de fil fine,,non
dentelle de fil grosse,,non
dentelle de Flandre,,non
dentelle de malines,,non
dentelle de normandie,,non
dentelle de Rouen,,non
dentelle de soie,,non
dentelle de soie au quart,,non
dentelle de soie blanche,,non
dentelle de soie blonde,,non
dentelle de soie de Rouen,,non
dentelle de soie et de fil,,non
dentelle dorure d'argent,,non
dentelle dorure d'argent et d'or,,non
dentelle dorure d'or,,non
dentelle dorure d'or faux,,non
dentelle du Havre,,non
dentelle du Puy,,non
dentelle en coiffures et manchettes,,non
dentelle en dorure,,non
dentelle et blonde,,non
dentelle et galon et passementerie,,non
dentelle et galon et passementerie et ruban,,non
dentelle fine,,non
dentelle grosse,,non
dentelle mi soie,,non
dents d'éléphant,,non
dents d'éléphants,,non
dents de cheval marin,,non
dents de chien marin,,non
dents de morphil,,non
derle,,non
dés,,non
dés à coudre,,non
dés à coudre de cuivre,,non
dés à coudre de cuivre et fer,Fer,non
dés à coudre de fer,Fer,non
dés à jouer,,non
dés d'acier,,non
dés de cuivre,,non
dés de fer,Fer,non
dés de laiton,,non
dés miroirs,,oui
dessins de papier,,non
dessus de souliers brodés,,non
dessus de table de marbre,,non
devant de vestes,,non
devant de vestes de basin,,non
dévidoir,,non
diactamy en fleurs,,non
diagedum,,non
dialbequier,,non
diamant et perle et pierre fine,,non
diamants,,non
diamants fins,,non
diamants perles et pierres fines,,non
diamants perles et pierres fines non montés,,non
dictame,,non
dictionnaire du commerce,,non
dictionnaire hollandais,,non
dimelle,,non
dimitte et futaine,,non
dimitte et futaine aune,,non
dindes,,non
dindonneaux,,non
dindons,,non
dioxide de plomb,,oui
disques de charrue en fer,Fer,oui
dissouchaie,,non
distillats,,non
ditors,,non
divers,,non
divers articles,,non
diverse,,non
diverses,,non
dividivi,,non
doloirs,,non
domino,,non
dominoterie,,non
dominoterie en image,,non
dominoterie et carte géographique,,non
doraze,,non
dorcas de Zurich,,non
doréas,,non
dorpin en pierre,,non
dorure,,non
dorure en galon fine,,non
dorure fausse,,non
dorure fausse en or et argent,,non
dorure fausse en or et argent battu tiré et laminé,,non
dorure filée,,non
dorure fine,,non
dorure fine en galon d'or,,non
dospin en pierre,,non
dossier de chaise,,non
doublure de martre pour habit,,non
doublure de petis gris,,non
douelles,,non
douelles à barils,,non
douelles à barrique,,non
douelles à busses,,non
douelles à cuve,,non
douelles à fond,,non
douelles à pièce,,non
douelles à pipe,,non
douelles à quart,,non
douelles à tierçons,,non
douelles à tonneau,,non
douelles de sapin,,non
douelles fonçaille,,non
douelles ganivelles,,non
douelles vieilles,,non
douvain,,non
douvelles,,non
douvelles de sapin,,non
douves,,non
douves à tonneaux,,non
douves bois en cuveen pour teinture,,oui
douves de deux pouces,,non
douves pour pipe,,oui
drache,,non
drache de bierre,,non
dracodium,,non
dragée,,non
dragée de Keyser,,non
dragonnes,,non
dragonnes d'épée,,non
drague de bière,,non
drap,,non
drap à doubler,,non
drap à la valeur,,non
drap à matelot,,non
drap à nègre,,non
drap à sucre,,non
drap anglais,,non
drap au 6e de soie,,non
drap blanc,,non
drap blanc d'Espagne,,non
drap blanc de Bremer,,non
drap blanc de douzaine,,non
drap blanc de douzaine aune,,non
drap blanc de Hollande,,non
drap blanc du nord,,non
drap blanc et écarlate,,non
drap blanc fin,,non
drap blanc par aune,,non
drap bleu,,non
drap brodé au ciseau en soie,,non
drap brodé en or et argent,,non
drap brodé en soie,,non
drap buras,,non
drap bure,,non
drap cad ???,,non
drap callemande,,non
drap commun,,non
drap cordeillat,,non
drap cosinis,,non
drap crêpe,,non
drap crêpe de Reims,,non
drap d'Abbeville,,non
drap d'Amboise,,non
drap d'Amiens,,non
drap d'Andelis,,non
drap d'Angleterre,,non
drap d'Angleterre aune,,non
drap d'Angleterre et draps d'Espagne et draps de Hollande,,non
drap d'argent et d'or et de soie,,non
drap d'Arnetal,,non
drap d'aucrin,,non
drap d'Aumale,,non
drap d'Elbeuf,,non
drap d'Elbeuf de retour,,non
drap d'Elbeuf de velours,,non
drap d'Espagne,,non
drap d'Espagne aune,,non
drap d'Espagne teint,,non
drap d'estames,,non
drap d'or et d'argent fin,,non
drap Damas,,non
drap dauphine,,non
drap de ?,,non
drap de Beauvais,,non
drap de Bergoopseau,,non
drap de billard,,non
drap de Bolbec,,non
drap de bourbon,,non
drap de bourbon peint,,non
drap de burs ou de frise,,oui
drap de Carcassonne,,non
drap de Carcassonne et écarlate,,non
drap de castor,,non
drap de castor par aune,,non
drap de cérémonie,,non
drap de Champagne,,non
drap de Cherbourg,,non
drap de Cobras gros,,non
drap de Colmar,,non
drap de cordeillat,,non
drap de coton,,non
drap de coton et de fil,,non
drap de coton et étoffe de coton,,non
drap de coton et teint,,non
drap de coton et velours de coton,,non
drap de coton imprimé,,non
drap de coutil,,oui
drap de dauphine,,non
drap de douzaine,,non
drap de douzaine et teint,,non
drap de douzaine teint aune,,non
drap de droguet,,non
drap de Duffel gros,,oui
drap de Falaise,,non
drap de fil et laine serge,,non
drap de fil vieux,,non
drap de France,,non
drap de Glasier,,non
drap de glaster,,non
drap de Glaster,,non
drap de glastes,,non
drap de Glates,,non
drap de Glouster,,non
drap de Hollande,,non
drap de Hollande teint,,non
drap de Komrix,,oui
drap de Korook,,non
drap de la Bouille,,non
drap de laine,,non
drap de laine au ? de soie,,non
drap de laine au quart de soie,,non
drap de laine avarié,,non
drap de laine commun,,non
drap de laine cordeillat,,non
drap de laine d'Amiens,,non
drap de laine d'Elbeuf,,non
drap de laine de Beauvais,,non
drap de laine de cordeillat,,non
drap de laine de Cours,,non
drap de laine de Lille,,non
drap de laine de Louviers,,non
drap de laine de Nanrabais,,non
drap de laine de Saint-Robert,,non
drap de laine de Sedan,,non
drap de laine de Van Robais,,non
drap de laine de Vir,,non
drap de laine diverse,,non
drap de laine draperie diverse,,non
drap de laine fin,,non
drap de laine gros,,non
drap de laine londrin,,non
drap de laine Londrin,,non
drap de Languedoc,,non
drap de Languedoc ordinaire,,non
drap de Latte,,non
drap de Lille,,non
drap de Limbourg,,non
drap de Limoux,,non
drap de lin,,non
drap de lin ayant servi,,non
drap de lin vieux,,non
drap de linge commun,,non
drap de lit,,non
drap de lit ayant servi,,non
drap de lit commun,,non
drap de lit neuf,,non
drap de lit toile de lin,,non
drap de lit vieux,,non
drap de Lodève,,non
drap de londrin,,non
drap de Louvier au 6e de soie,,non
drap de Louviers,,non
drap de Louvres,,non
drap de Maroc,,non
drap de Maroc teint de douzaine,,non
drap de montagne,,non
drap de Montauban,,non
drap de Montauban petite,,non
drap de Moucu,,non
drap de Nison,,non
drap de Normandie,,non
drap de pagnon,,non
drap de Panguede,,non
drap de Picardie,,non
drap de Pie,,non
drap de Pie aune,,non
drap de Poitou,,non
drap de Reims,,non
drap de Rome,,non
drap de Romorntin,,non
drap de Rouen,,non
drap de Saint Lô,,non
drap de Sedan,,non
drap de Sedan de retour,,non
drap de Sedan de velours,,non
drap de Ségovie,,non
drap de Silésie,,non
drap de Sir,,non
drap de soie,,non
drap de Soudrain,,non
drap de Souvier,,non
drap de Van Robais,,non
drap de vere,,non
drap de Vir,,non
drap demi fin de laine,,non
drap des prise,,non
drap des prises,,non
drap dit packlaeken,,non
drap dit packlaeken aune,,non
drap dit packlaeken blanc,,non
drap dit packlaeken teint,,non
drap dit plamens,,non
drap dit plawens ou codde,,non
drap dit plawens ou codde aune,,non
drap divers ???,,non
drap drache,,non
drap drapé,,non
drap draperie ???,,non
drap du Berry,,non
drap du Dauphiné,,non
drap du Languedoc,,non
drap du Languedoc de velours,,non
drap du Maroc aune,,non
drap du nord,,non
drap du Nord,,non
drap du nord teint,,non
drap du Poitou,,non
drap du sceau,,non
drap écarlate,,non
drap écarlate et du Languedoc,,non
drap et draperie,,non
drap et draperie casinier,,non
drap et draperie de laine,,non
drap et étoffe,,non
drap et étoffe de laine,,non
drap étranger,,non
drap fin,,non
drap fin blanc,,non
drap fin divers dit londrin du Languedoc de Carcassonne et Lodève,,non
