marchandises_simplifiees,medical_product
drap ; draperie ; iada,not a medical product
drap ; draperie ; layette,not a medical product
drap ; draperie ; moutade,not a medical product
drap ; draperie ; ordinaire,not a medical product
drap ; draperie ; petite,not a medical product
drap ; draperie ; petite ; de Languedoc,not a medical product
drap ; draperie ; petite ; de main,not a medical product
drap ; draperie ; petite ; de Sedan,not a medical product
drap ; draperie ; petite ; de Silésie,not a medical product
drap ; draperie ; petite ; divers,not a medical product
drap ; draperie ; petite ; du Maroc,not a medical product
drap ; draperie ; ratine,not a medical product
drap ; draperie ; tricot,not a medical product
drap ; droguet,not a medical product
drap ; droguet ; d'Angleterre,not a medical product
drap ; droguet ; d'Hollande,not a medical product
drap ; droguet ; de castor,not a medical product
drap ; droguet ; de fil et laine,not a medical product
drap ; droguet ; de Hollande,not a medical product
drap ; droguet ; de laine,not a medical product
drap ; droguet ; de milan,not a medical product
drap ; du Dauphiné,not a medical product
drap ; du nord,not a medical product
drap ; du sceau,not a medical product
drap ; écarlate,not a medical product
drap ; espagnolette,not a medical product
drap ; étranger,not a medical product
drap ; fin,not a medical product
drap ; fin,not a medical product
drap ; fin ; du Languedoc,not a medical product
drap ; flanelle,not a medical product
drap ; gauffré,not a medical product
drap ; grossier,not a medical product
drap ; imprimé,not a medical product
drap ; irtaine,not a medical product
drap ; londrin,not a medical product
drap ; Maroc,not a medical product
drap ; molton,not a medical product
drap ; native ; divers,not a medical product
drap ; naturel ; commune,not a medical product
drap ; naturel ; de Sedan,not a medical product
drap ; naturel ; diverse,not a medical product
drap ; naturel ; Sirre,not a medical product
drap ; noir,not a medical product
drap ; ordinaire,not a medical product
drap ; ordinaire,not a medical product
drap ; palencourt,not a medical product
drap ; petit,not a medical product
drap ; pinchina,not a medical product
drap ; platine,not a medical product
drap ; poudrin,not a medical product
drap ; ratine,not a medical product
drap ; ratine ; diverse,not a medical product
drap ; raz ; d'Angleterre,not a medical product
drap ; raz ; de castor,not a medical product
drap ; raz ; de Maroc,not a medical product
drap ; raz ; des Lo,not a medical product
drap ; raze ; blanche,not a medical product
drap ; serge,not a medical product
drap ; serge ; à doubler,not a medical product
drap ; serge ; d'Angleterre,not a medical product
drap ; serge ; d'Arnetal,not a medical product
drap ; serge ; d'aumale,not a medical product
drap ; serge ; d'aumale,not a medical product
drap ; serge ; de laine,not a medical product
drap ; serge ; de Lille,not a medical product
drap ; serge ; de Montauban,not a medical product
drap ; serge ; des prise,not a medical product
drap ; serge ; drapée,not a medical product
drap ; serge ; drapée,not a medical product
drap ; serge ; écarlate,not a medical product
drap ; serge ; fil et laine,not a medical product
drap ; serge ; forte,not a medical product
drap ; serge ; imprimée,not a medical product
drap ; serge ; large,not a medical product
drap ; serge ; sergette,not a medical product
drap ; serge et satin ; turc,not a medical product
drap ; vert,not a medical product
drap ; vieux,not a medical product
drapeau,not a medical product
drapeau ; castor,not a medical product
drapeau ; mi castor,not a medical product
drapeau ; mi vigogne,not a medical product
drapeau ; poil et laine,not a medical product
drapeau ; vieux,not a medical product
drapeau ; vigogne,not a medical product
draperie,not a medical product
draperie ; de Montauban,not a medical product
draperie ; ordinaire,not a medical product
draperie et étoffe,not a medical product
draperie et étoffe ; de laine,not a medical product
drogue,broad medical product
drogue ; aigre ; de vitriol,narrow medical product
drogue ; alquifoux,not a medical product
drogue ; alun,broad medical product
drogue ; antimoine,broad medical product
drogue ; asfafélida,not a medical product
drogue ; azur,broad medical product
drogue ; blanc de baleine,narrow medical product
drogue ; bongra animal,not a medical product
drogue ; canéfice,narrow medical product
drogue ; cantharide,narrow medical product
drogue ; capilaire,narrow medical product
drogue ; carabé,broad medical product
drogue ; cassia lignea,narrow medical product
drogue ; chimique,not a medical product
drogue ; chimique ; ?,not a medical product
drogue ; chimique ; diverse,not a medical product
drogue ; chimique ; diverse,not a medical product
drogue ; chimique ; eau forte,broad medical product
drogue ; chimique ; esprit de sel,broad medical product
drogue ; chimique ; esprit de vice,not a medical product
drogue ; chimique ; sel ; amoniac,broad medical product
drogue ; chimique ; sel ammoniac,broad medical product
drogue ; chimique ; sel d'epsum,broad medical product
drogue ; chimique ; sel d'opium,broad medical product
drogue ; chimique ; sel de Globert,broad medical product
drogue ; chimique ; sel de paume,not a medical product
drogue ; chimique ; sel de plomb,not a medical product
drogue ; chimique ; sel de potasse,not a medical product
drogue ; chimique ; sel de tamarin,broad medical product
drogue ; chimique ; sel divers,not a medical product
drogue ; chimique ; sel gemme,not a medical product
drogue ; chimique ; sel saturne,narrow medical product
drogue ; chimique ; sel sublimé,broad medical product
drogue ; chimique ; sublimé,broad medical product
drogue ; chimique et métallique,not a medical product
drogue ; chimique et métallique,not a medical product
drogue ; chimique et métallique ; antimoine,broad medical product
drogue ; chimique et métallique ; antimoine,broad medical product
drogue ; chimique et métallique ; argent ; vif,broad medical product
drogue ; chimique et métallique ; arsenic,broad medical product
drogue ; chimique et métallique ; diverse,not a medical product
drogue ; chimique et métallique ; eau ; forte,broad medical product
drogue ; chimique et métallique ; esprit ; de sel,broad medical product
drogue ; chimique et métallique ; marcure,broad medical product
drogue ; chimique et métallique ; sel ; amoniac,broad medical product
drogue ; chimique et métallique ; sel ; de Globert,broad medical product
drogue ; chimique et métallique ; sel ; divers,not a medical product
drogue ; chimique et métallique ; sublime,broad medical product
drogue ; chimique et métallique ; zinc,not a medical product
drogue ; cochenille,not a medical product
drogue ; commune,not a medical product
drogue ; composée pour la médecine ; benjoin,narrow medical product
drogue ; couperose,broad medical product
drogue ; d'apothicaire,narrow medical product
drogue ; de misme,not a medical product
drogue ; diverse,broad medical product
drogue ; diverse ; sagon,not a medical product
drogue ; doraze,not a medical product
drogue ; émeri,not a medical product
drogue ; essence de vitriol,broad medical product
drogue ; fine,not a medical product
drogue ; galbanum,narrow medical product
drogue ; galle,not a medical product
drogue ; gomme,not a medical product
drogue ; gomme ; adraganthe,broad medical product
drogue ; gomme ; arabique,broad medical product
drogue ; gomme ; barbarie,not a medical product
drogue ; gomme ; commune,not a medical product
drogue ; gomme ; copal,narrow medical product
drogue ; gomme ; couperose,broad medical product
drogue ; gomme ; de barbarie,not a medical product
drogue ; gomme ; diverse,broad medical product
drogue ; gomme ; du Sénégal,not a medical product
drogue ; gomme ; élastique,not a medical product
drogue ; gomme ; galle,not a medical product
drogue ; gomme ; gutte,broad medical product
drogue ; gomme ; herbe ; grande,not a medical product
drogue ; gomme ; laque,broad medical product
drogue ; gomme ; médécinale ; diverse,narrow medical product
drogue ; gomme ; métallique ; diverse,not a medical product
drogue ; gomme ; pour peinture et teinture,not a medical product
drogue ; gomme ; racine d'alizary,not a medical product
drogue ; gomme ; sandarak,broad medical product
drogue ; gomme ; Sénégal,not a medical product
drogue ; gomme ; verdet,broad medical product
drogue ; gousse arabique,broad medical product
drogue ; gousse diverse,broad medical product
drogue ; gousse du Senegal,broad medical product
drogue ; gousse gatte,not a medical product
drogue ; gousse lagne,not a medical product
drogue ; graine diverse,broad medical product
drogue ; huile d'amande,broad medical product
drogue ; huile de thérébenthine,narrow medical product
drogue ; huile de vitriol,broad medical product
drogue ; indigo,not a medical product
drogue ; indigo ; des îles française,not a medical product
drogue ; jus ; de réglisse,narrow medical product
drogue ; litharge,broad medical product
drogue ; mastic,broad medical product
drogue ; mauris,not a medical product
drogue ; médicinale,narrow medical product
drogue ; médicinale ; agaric,narrow medical product
drogue ; médicinale ; agaric ; gros,narrow medical product
drogue ; médicinale ; aloès,narrow medical product
drogue ; médicinale ; aloès ; capalin,narrow medical product
drogue ; médicinale ; assa fétide,narrow medical product
