goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,nbr_occurences_medicinales
étoffe de laine couterie,1,not a medical product,non,1,530316
étoffe de laine crêpe,2,not a medical product,non,2,530316
étoffe de laine de Rome,1,not a medical product,non,1,530316
étoffe de laine en cachemire,2,not a medical product,non,2,530316
étoffe de laine en croisé,1,not a medical product,non,1,530316
étoffe de laine en quart de soie,1,not a medical product,non,1,530316
étoffe de laine en raz de castor,5,not a medical product,non,5,530316
étoffe de laine en sarain,1,not a medical product,non,1,530316
étoffe de laine et de fil,1,not a medical product,non,1,530316
étoffe de laine et de poil,33,not a medical product,non,32,530316
étoffe de laine et de soie,57,not a medical product,non,53,530316
étoffe de laine et de soie aune,1,not a medical product,non,1,530316
étoffe de laine et de soie brodée,1,not a medical product,non,1,530316
étoffe de laine et de soie diverse,1,not a medical product,non,1,530316
étoffe de laine et de velours d'Utrecht,1,not a medical product,non,1,530316
étoffe de laine et poil,9,not a medical product,non,7,530316
étoffe de laine fabrique de Tournai,1,not a medical product,non,1,530316
étoffe de laine fabriquée à Arras,1,not a medical product,non,1,530316
étoffe de laine fleuret au quart,1,not a medical product,non,1,530316
étoffe de laine fleuret et de soie,2,not a medical product,non,2,530316
étoffe de laine florentine,1,not a medical product,non,1,530316
étoffe de laine grains d'orge,1,not a medical product,non,1,530316
étoffe de laine grosse,1,not a medical product,non,1,530316
étoffe de laine imprimée,2,not a medical product,non,1,530316
étoffe de laine large et serge,2,not a medical product,non,2,530316
étoffe de laine mélangée,1,not a medical product,non,1,530316
étoffe de laine mêlée de soie,3,not a medical product,non,3,530316
étoffe de laine mêlée ou pure,1,not a medical product,non,1,530316
étoffe de laine Minorque,3,not a medical product,non,3,530316
étoffe de laine poil et laine,4,not a medical product,non,4,530316
étoffe de laine poil et laine velours,1,not a medical product,non,1,530316
étoffe de laine poil poil et laine,1,not a medical product,non,1,530316
étoffe de laine pour nègre,1,not a medical product,non,1,530316
étoffe de laine pure,1,not a medical product,non,1,530316
étoffe de laine pure aune,1,not a medical product,non,1,530316
étoffe de laine reste,1,not a medical product,non,1,530316
étoffe de laine retour,1,not a medical product,non,1,530316
étoffe de laine riche,1,not a medical product,non,1,530316
étoffe de laine royale,1,not a medical product,non,1,530316
étoffe de laine satinée,1,not a medical product,non,1,530316
étoffe de laine serge à doublure,2,not a medical product,non,2,530316
étoffe de laine teinte,3,not a medical product,non,1,530316
étoffe de laine turque,2,not a medical product,non,2,530316
étoffe de laine velverde,1,not a medical product,non,1,530316
étoffe de laine verlastine,1,not a medical product,non,1,530316
étoffe de laine voile noir,1,not a medical product,non,1,530316
étoffe de peluches pour nègre,1,not a medical product,non,1,530316
étoffe de poil,36,not a medical product,non,37,530316
étoffe de poil de chameau,2,not a medical product,non,1,530316
étoffe de poil de laine et de velours d'Utrecht,4,not a medical product,non,4,530316
étoffe de poil et de velour d'Utrecht,1,not a medical product,non,1,530316
étoffe de poil et de velours,2,not a medical product,non,2,530316
étoffe de poil et fil,1,not a medical product,non,1,530316
étoffe de poil et laine velours,2,not a medical product,non,2,530316
étoffe de poil et laine velours d'Utrecht,1,not a medical product,non,1,530316
étoffe de Reims,1,,non,,1394
étoffe de riche,1,not a medical product,non,1,530316
étoffe de Rouen,1,not a medical product,non,1,530316
étoffe de soie,2632,not a medical product,non,2265,530316
étoffe de soie à fil,1,not a medical product,non,1,530316
étoffe de soie au peu,4,,non,,1394
étoffe de soie au quart,315,not a medical product,non,171,530316
étoffe de soie aune,1,not a medical product,non,1,530316
étoffe de soie avec argent et or,1,not a medical product,non,1,530316
étoffe de soie brochée d'argent et d'or faux,1,not a medical product,non,1,530316
étoffe de soie brochée d'argent et d'or fin,1,not a medical product,non,1,530316
étoffe de soie brochée de soie,2,not a medical product,non,2,530316
étoffe de soie brodée,5,not a medical product,non,5,530316
étoffe de soie brodée d'or,2,not a medical product,non,2,530316
étoffe de soie brodée en dorure,1,not a medical product,non,1,530316
étoffe de soie brodée en soie retour,1,not a medical product,non,1,530316
étoffe de soie crêpe,10,not a medical product,non,10,530316
étoffe de soie croisée,1,not a medical product,non,,530316
étoffe de soie crue,1,not a medical product,non,1,530316
étoffe de soie d'armoisin,1,not a medical product,non,1,530316
étoffe de soie d'or et d'argent faux,3,not a medical product,non,1,530316
étoffe de soie d'Utrecht,1,not a medical product,non,1,530316
étoffe de soie de crêpe,2,not a medical product,non,2,530316
étoffe de soie de fleuret et soie,4,not a medical product,non,4,530316
étoffe de soie de laine,1,not a medical product,non,1,530316
étoffe de soie de lin,1,not a medical product,non,1,530316
étoffe de soie de renvoi,1,not a medical product,non,1,530316
étoffe de soie de Saint Bours,1,not a medical product,non,1,530316
étoffe de soie de velours,3,not a medical product,non,3,530316
étoffe de soie des Indes,41,not a medical product,non,41,530316
étoffe de soie dite Florence,1,not a medical product,non,1,530316
étoffe de soie dite milleret,1,not a medical product,non,1,530316
étoffe de soie draps,0,not a medical product,oui,1,530316
étoffe de soie du Levant,12,not a medical product,non,12,530316
étoffe de soie en coton,1,not a medical product,non,,530316
étoffe de soie en dorure,3,not a medical product,non,1,530316
étoffe de soie en dorure aune,1,not a medical product,non,1,530316
étoffe de soie en drap,1,not a medical product,non,1,530316
étoffe de soie en fleurs,1,not a medical product,non,,530316
étoffe de soie en laine,1,not a medical product,non,1,530316
étoffe de soie en or et argent,1,not a medical product,non,,530316
étoffe de soie en velours,1,not a medical product,non,1,530316
étoffe de soie et ???,2,not a medical product,non,2,530316
étoffe de soie et d'argent,1,,non,,1394
étoffe de soie et de poil,1,not a medical product,non,1,530316
étoffe de soie et de velours d'Utrecht,23,not a medical product,non,22,530316
étoffe de soie et de velours de Gênes,4,not a medical product,non,4,530316
étoffe de soie et galets,1,not a medical product,non,1,530316
étoffe de soie et prunelle de laine,1,not a medical product,non,1,530316
étoffe de soie et ruban,1,not a medical product,non,,530316
étoffe de soie et soierie,6,not a medical product,non,6,530316
étoffe de soie fabriquée,1,not a medical product,non,,530316
étoffe de soie façonnée,2,not a medical product,non,2,530316
étoffe de soie fleuret et soie,1,not a medical product,non,1,530316
étoffe de soie herbage,1,not a medical product,non,1,530316
étoffe de soie mêlée d'argent et d'or faux,1,not a medical product,non,1,530316
étoffe de soie mêlée d'argent et d'or fin,1,not a medical product,non,1,530316
étoffe de soie mêlée de fil,3,not a medical product,non,3,530316
étoffe de soie mêlée de laine ou de coton,1,not a medical product,non,1,530316
étoffe de soie mi soie,191,not a medical product,non,191,530316
étoffe de soie pays étrangers,6,not a medical product,non,6,530316
étoffe de soie pièce,1,not a medical product,non,1,530316
étoffe de soie pou de soie,1,not a medical product,non,1,530316
étoffe de soie pure,2,not a medical product,non,1,530316
étoffe de soie pure unie,3,not a medical product,non,3,530316
étoffe de soie raz ??? cir,1,not a medical product,non,1,530316
étoffe de soie raz ??? fin,2,not a medical product,non,2,530316
étoffe de soie riche,4,not a medical product,non,4,530316
étoffe de soie unie,2,not a medical product,non,2,530316
étoffe de taffetas,1,not a medical product,non,1,530316
étoffe de velours,18,not a medical product,non,18,530316
étoffe de velours d'Utrecht,6,not a medical product,non,6,530316
étoffe de velours de coton,13,not a medical product,non,13,530316
étoffe de velours de soie,157,not a medical product,non,157,530316
étoffe de voile,2,not a medical product,non,2,530316
étoffe demi soie,5,not a medical product,non,5,530316
étoffe des Iles,4,not a medical product,non,,530316
étoffe des Indes,19,not a medical product,non,11,530316
étoffe des Indes vestes brodées,1,not a medical product,non,,530316
étoffe des prises,2,not a medical product,non,,530316
étoffe dite calutras de coton et de soie,1,not a medical product,non,1,530316
étoffe dite pauvre madame,1,not a medical product,non,1,530316
étoffe diverse couvertures et draperie pour le gouvernement,5,not a medical product,non,5,530316
étoffe dorure,24,not a medical product,non,13,530316
étoffe dorure d'argent,18,not a medical product,non,18,530316
étoffe dorure d'argent et d'or,147,not a medical product,non,147,530316
étoffe dorure d'argent et d'or faux,8,not a medical product,non,8,530316
étoffe dorure d'argent fin et d'or,41,not a medical product,non,41,530316
étoffe dorure d'or,48,not a medical product,non,48,530316
étoffe dorure d'or faux,1,not a medical product,non,1,530316
étoffe dorure de soie,1,not a medical product,non,,530316
étoffe dorure et de soie,31,not a medical product,non,31,530316
étoffe dorure fausse,1,not a medical product,non,1,530316
étoffe dorure fine et de soie,1,not a medical product,non,1,530316
étoffe droguet,16,not a medical product,non,12,530316
étoffe en bours du Levant,1,not a medical product,non,1,530316
étoffe en dorure et galon et passementerie,24,not a medical product,non,24,530316
étoffe en or mêlée de soie,27,not a medical product,non,27,530316
étoffe et galon d'argent et d'or,1,not a medical product,non,1,530316
étoffe et gaze et toile des Indes,1,not a medical product,non,1,530316
étoffe et lainages,1,not a medical product,non,1,530316
étoffe et ouvrage de soie,0,,oui,,1394
étoffe et ouvrages de soie,1,not a medical product,non,,530316
étoffe et ruban de soie,4,not a medical product,non,5,530316
étoffe et rubanerie de fleuret,10,not a medical product,non,10,530316
Étoffe étamine fine,4,not a medical product,non,4,530316
étoffe éternelle,1,not a medical product,non,1,530316
étoffe éternelle de laine,2,not a medical product,non,2,530316
étoffe éternelle mélangée de soie,1,not a medical product,non,1,530316
étoffe étrangère,5,not a medical product,non,5,530316
étoffe étrangère de jude,1,not a medical product,non,1,530316
étoffe façonnée,100,not a medical product,non,99,530316
étoffe façonnée de soie pure,2,not a medical product,non,2,530316
étoffe filoselle,4,not a medical product,non,4,530316
étoffe filoselle de soie,1,not a medical product,non,1,530316
étoffe filoselle et laine,3,not a medical product,non,3,530316
étoffe finette,2,not a medical product,non,2,530316
étoffe flamande de mauvaise qualité,1,not a medical product,non,1,530316
étoffe fleuret,5,not a medical product,non,5,530316
étoffe fleuret et de soie,3,not a medical product,non,3,530316
étoffe fleuret et soie,8,not a medical product,non,8,530316
étoffe flotte,2,not a medical product,non,1,530316
étoffe flotte des Indes,1,not a medical product,non,1,530316
étoffe grosse de laine,1,not a medical product,non,1,530316
étoffe herbage,2,not a medical product,non,2,530316
