goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,sitc18_rev3,nbr_occurences_medicinales
cannelle commune hors d'Europe,1,not a medical product,non,1,0b,530318
cannelle de bois,4,not a medical product,non,4,0b,530318
cannelle de bois pour tamis,1,not a medical product,non,1,0b,530318
cannelle de Chine,1,narrow medical product,non,1,0b,24146
cannelle de fleurs,1,not a medical product,non,1,0b,530318
cannelle de grès,1,,non,,,1431
cannelle des Indes,2,not a medical product,non,2,0b,530318
cannelle et girofle et poivre,1,not a medical product,non,1,0b,530318
cannelle et girofle et poivre etc,1,not a medical product,non,1,0b,530318
cannelle et poivre,1,not a medical product,non,1,0b,530318
cannelle fine,9,not a medical product,non,9,0b,530318
cannelle fine des entrepôts,1,not a medical product,non,1,0b,530318
cannelle giroflée,11,not a medical product,non,10,0b,530318
cannelle malte,4,not a medical product,non,3,0b,530318
cannelle ocyrez,1,not a medical product,non,1,0b,530318
cannelle ordinaire,3,not a medical product,non,1,0b,530318
cannelle sauvage,6,not a medical product,non,2,0b,530318
cannelles de cuivre pour tonneaux,1,,non,,,1431
cannes,27,not a medical product,non,26,8,530318
cannes à faire chaise,1,not a medical product,non,,,530318
cannes à main,95,not a medical product,non,83,8,530318
cannes à pêcher,1,not a medical product,non,1,8,530318
cannes à pommes d'argent,1,,non,,,1431
cannes à pommes d'or,12,not a medical product,non,6,8,530318
cannes à pommes d'or ayant servi,1,not a medical product,non,1,8,530318
cannes de bambous,4,not a medical product,non,4,8,530318
cannes de bois,3,not a medical product,non,3,8,530318
cannes de bois montées et non montées,1,not a medical product,non,1,8,530318
cannes de bois vernis,1,not a medical product,non,1,8,530318
cannes de jonc,12,not a medical product,non,6,8,530318
cannes de jonc ou roseau,1,not a medical product,non,1,8,530318
cannes de roseau,8,not a medical product,non,8,8,530318
cannes de terre,2,not a medical product,non,,,530318
cannes dites genettes,1,not a medical product,non,1,8,530318
cannes en brochettes,1,not a medical product,non,1,8,530318
cannes en canon,1,not a medical product,non,1,8,530318
cannes et bâtons vernis,1,not a medical product,non,1,8,530318
cannes garnies,1,not a medical product,non,,,530318
cannes vernies,2,not a medical product,non,2,8,530318
cannetilles,2,not a medical product,non,,,530318
cannetilles d'argent et d'or,1,not a medical product,non,,,530318
cannetilles d'or faux,1,not a medical product,non,,,530318
cannette de grès et de terre,1,not a medical product,non,1,6k,530318
cannettes,13,not a medical product,non,7,6k,530318
cannettes à faïence,1,not a medical product,non,,,530318
cannettes d'étain,16,not a medical product,non,12,6j,530318
cannettes de ???,1,not a medical product,non,1,9c,530318
cannettes de faïence,3,not a medical product,non,2,6k,530318
cannettes de grès,171,not a medical product,non,122,6k,530318
cannettes de grès couvertes d'étain,2,not a medical product,non,,,530318
cannettes de marbre,1,,non,,,1431
cannettes de sapin,1,not a medical product,non,1,???,530318
cannettes de terre,37,not a medical product,non,19,6k,530318
cannettes et leurs flacons,1,not a medical product,non,,,530318
cannettes ocyrez,1,not a medical product,non,1,???,530318
cannettes ou marbre,1,not a medical product,non,,,530318
cannettes ou marbre pour la Compagnie des Indes,1,not a medical product,non,,,530318
canonnières de cantil,2,not a medical product,non,2,8,530318
canons,20,not a medical product,non,17,8,530318
canons de 12 livres,1,,non,,,1431
canons de 18 livres,1,not a medical product,non,1,8,530318
canons de 2 livres,1,not a medical product,non,1,8,530318
canons de 3 livres,2,not a medical product,non,,,530318
canons de 4 livres,5,not a medical product,non,1,8,530318
canons de 6 pieds,1,not a medical product,non,,,530318
canons de bronze,2,not a medical product,non,2,8,530318
canons de bronze d'une demi livre,1,,non,,,1431
canons de différents calibres,1,not a medical product,non,1,8,530318
canons de fer,304,not a medical product,non,228,8,530318
canons de fer avec leurs affûts,2,not a medical product,non,2,8,530318
canons de fer brisés et rompus,1,not a medical product,non,,,530318
canons de fer de 12 livres,3,not a medical product,non,1,8,530318
canons de fer de 18 à 24 livres,2,not a medical product,non,1,8,530318
canons de fer de 18 et 30 livres,1,not a medical product,non,1,8,530318
canons de fer de 18 livres,1,not a medical product,non,,,530318
canons de fer de 2 livres,3,not a medical product,non,1,8,530318
canons de fer de 3 à 4 livres,1,not a medical product,non,1,8,530318
canons de fer de 3 livres,3,not a medical product,non,1,8,530318
canons de fer de 3 livres de balle,0,not a medical product,oui,,,530318
canons de fer de 4 livres,12,not a medical product,non,4,8,530318
canons de fer de 6 livres,6,not a medical product,non,3,8,530318
canons de fer de 8 livres,2,not a medical product,non,1,8,530318
canons de fer de 9 livres,1,not a medical product,non,,,530318
canons de fer et balles de fer,1,not a medical product,non,1,8,530318
canons de fer petits,2,not a medical product,non,1,8,530318
canons de fer vieux,3,not a medical product,non,3,8,530318
canons de feu de 4 livres,1,not a medical product,non,1,8,530318
canons de filoselle,2,not a medical product,non,2,2,530318
canons de fonte,18,not a medical product,non,16,8,530318
canons de fonte petit,1,not a medical product,non,1,8,530318
canons de fusils,28,not a medical product,non,25,8,530318
canons de fusils vieux,2,,non,,,1431
canons de métal,1,not a medical product,non,1,8,530318
canons de métal de 12 livres,0,not a medical product,oui,1,8,530318
canons de vieux mousquets,1,not a medical product,non,1,8,530318
canons et affûts,1,not a medical product,non,,,530318
canot neuf,1,not a medical product,non,1,7,530318
cantharides,354,narrow medical product,non,311,2,24146
cantharides et cloportes,2,narrow medical product,non,2,2,24146
cantharides ou mouches d'Espagne,1,narrow medical product,non,1,2,24146
cantines,1,not a medical product,non,1,8,530318
cantines de cuir,1,not a medical product,non,1,8,530318
canules,1,not a medical product,non,1,???,530318
canyolore,3,narrow medical product,non,3,???,24146
caoutchouc,3,not a medical product,non,2,2,530318
capalme,1,not a medical product,non,1,2,530318
caparaçons,6,not a medical product,non,5,7,530318
caparaçons de peau,1,not a medical product,non,1,7,530318
capeabas,1,not a medical product,non,1,???,530318
caperies,1,,non,,,1431
capes,8,not a medical product,non,4,8,530318
capes cabas,1,not a medical product,non,1,8,530318
capes de camelot,3,not a medical product,non,3,8,530318
capes du Béarn,1,not a medical product,non,1,8,530318
capies,3,not a medical product,non,3,???,530318
capillaire,28,narrow medical product,non,23,2,24146
capillaire du Canada,1,narrow medical product,non,,,24146
capillaire en herbes,137,narrow medical product,non,118,2,24146
capillaire verte,1,narrow medical product,non,1,2,24146
capiton,10,not a medical product,non,10,2,530318
capiton de soie,1,not a medical product,non,1,2,530318
capons,1,not a medical product,non,1,0a,530318
capot,3,not a medical product,non,,,530318
capot et casaques,2,not a medical product,non,,,530318
capotes,13,not a medical product,non,12,8,530318
capotes de drap,1,not a medical product,non,1,8,530318
capotes de drap gros,1,not a medical product,non,1,8,530318
capotes de marrègue,1,not a medical product,non,1,8,530318
capotes et chemises casaques,1,not a medical product,non,1,8,530318
capots,138,not a medical product,non,116,8,530318
capots (draps),1,not a medical product,non,1,8,530318
capots à nègre,1,not a medical product,non,,,530318
capots de laine,1,not a medical product,non,1,8,530318
câpres,902,not a medical product,non,735,0a,530318
câpres au vinaigre,4,not a medical product,non,4,0a,530318
câpres communes,3,not a medical product,non,3,0a,530318
câpres communes confits,1,not a medical product,non,1,0a,530318
câpres confits,3,not a medical product,non,3,0a,530318
câpres confits au vinaigre,1,not a medical product,non,1,0a,530318
câpres cornichons et olives,10,not a medical product,non,10,0a,530318
câpres d'Espagne,1,not a medical product,non,1,0a,530318
câpres et cornichons au vinaigre,5,not a medical product,non,5,0a,530318
câpres et olive,1,not a medical product,non,1,0a,530318
câpres et olives,1,not a medical product,non,1,0a,530318
câpres fines,4,not a medical product,non,4,0a,530318
câpres gousses,1,not a medical product,non,1,0a,530318
câpres grosses,1,not a medical product,non,1,0a,530318
câpres marinées,5,not a medical product,non,5,0a,530318
câpres non marinées,4,not a medical product,non,4,0a,530318
câpres salées et au vinaigre,1,not a medical product,non,2,0a,530318
capris,4,not a medical product,non,4,9c,530318
capsliattes,6,not a medical product,non,4,???,530318
caput mortum,2,not a medical product,non,2,5,530318
carabé,37,narrow medical product,non,35,2,24146
carabé jaune,1,narrow medical product,non,1,2,24146
carabine à air comprimé,2,not a medical product,non,1,8,530318
caractères à imprimerie,123,not a medical product,non,121,7,530318
caractères à imprimerie de plomb,3,not a medical product,non,3,7,530318
caractères à imprimerie en langue allemande,2,not a medical product,non,2,7,530318
caractères à imprimerie en langue française,2,not a medical product,non,2,7,530318
caractères à imprimerie hors d'usage,5,not a medical product,non,5,7,530318
caractères à imprimerie neufs,4,not a medical product,non,4,7,530318
carafes de verre,1,not a medical product,non,1,6k,530318
carafes de verre blanc,1,not a medical product,non,1,6k,530318
caramel,1,not a medical product,non,1,0a,530318
carants et lanjents,1,not a medical product,non,1,???,530318
caraterie,1,not a medical product,non,1,???,530318
carbonate d'ammoniaque,4,not a medical product,non,4,5,530318
carbonate de magnésie,7,not a medical product,non,7,5,530318
carbonate de plomb mélangé ou pur,5,not a medical product,non,5,5,530318
carbonate de plomb très pur,3,not a medical product,non,3,5,530318
carcajou,1,not a medical product,non,1,0a,530318
carcasse,2,not a medical product,non,1,8,530318
carcasse à peu de soie,2,not a medical product,non,2,8,530318
cardage,1,not a medical product,non,,,530318
cardamome,64,narrow medical product,non,41,0b,24146
cardes,9,not a medical product,non,6,6j,530318
cardes à carder,328,not a medical product,non,267,6j,530318
cardes à carder neuves,2,not a medical product,non,2,6j,530318
cardes à carder vieilles,1,not a medical product,non,1,6j,530318
cardes à drapier,1,not a medical product,non,1,6j,530318
cardes de bois et de fil de fer,1,not a medical product,non,1,6j,530318
cardes de chanvre,1,not a medical product,non,1,6h,530318
cardes et cardons champêtres,1,not a medical product,non,1,0a,530318
cardes neuves,5,not a medical product,non,5,6j,530318
cardes vieilles,17,not a medical product,non,17,6j,530318
cardilletrie,3,not a medical product,non,3,???,530318
cardines,10,not a medical product,non,8,0a,530318
cardines de bois,5,not a medical product,non,5,???,530318
cardines de sapin,1,not a medical product,non,1,???,530318
cardon,7,not a medical product,non,7,0a,530318
cards à carder,0,not a medical product,oui,1,???,530318
caret,35,not a medical product,non,34,7,530318
cargaison,2,not a medical product,non,1,9c,530318
caril,2,not a medical product,non,1,???,530318
carillon de fer,4,not a medical product,non,4,6j,530318
carisé,17,not a medical product,non,15,6i,530318
carisé blanc,2,not a medical product,non,1,6i,530318
carisé des prises,1,not a medical product,non,,,530318
carisé teint,2,not a medical product,non,1,6i,530318
carisel,2,not a medical product,non,2,6h,530318
carisel ou creseau,7,not a medical product,non,7,6h,530318
carives vieilles,2,not a medical product,non,2,???,530318
carlé,2,not a medical product,non,2,9c,530318
carmin,10,not a medical product,non,10,5,530318
carmin commun,3,not a medical product,non,3,5,530318
carmin fin,2,not a medical product,non,2,5,530318
carnasse,16,not a medical product,non,15,???,530318
carnifié,1,not a medical product,non,1,???,530318
carny,2,not a medical product,non,1,???,530318
carols,1,not a medical product,non,1,???,530318
caroots,2,not a medical product,non,1,???,530318
carotte,7,not a medical product,non,1,0a,530318
carotte d'enfant,1,not a medical product,non,1,???,530318
carottes,4,not a medical product,non,3,0a,530318
carou,1,not a medical product,non,1,???,530318
carouge,142,not a medical product,non,,,530318
carpe et tanche,1,not a medical product,non,1,0a,530318
carpeaux alevins,5,not a medical product,non,5,0a,530318
carpes,27,not a medical product,non,27,0a,530318
carpes de stockfish,1,not a medical product,non,1,0a,530318
carpes et brochets,1,not a medical product,non,1,0a,530318
carpette,4,not a medical product,non,4,6i,530318
carrabe,2,narrow medical product,non,2,???,24146
carré,61,not a medical product,non,50,9c,530318
carré de fer plat,12,not a medical product,non,12,6j,530318
carreaux,5,not a medical product,non,3,6k,530318
carreaux ???,1,not a medical product,non,1,8,530318
carreaux à dentelle,4,not a medical product,non,4,8,530318
carreaux à paver,20,not a medical product,non,17,6k,530318
carreaux à paver de pierre,7,not a medical product,non,7,6k,530318
