simplification,nbr_occurences_simpl,obsolete,medicinales,nbr_obs,nbr_occurences_medicinales
courtepointe de toile peinte,2,non,not a medical product,,795416
courtepointe jupes et vestes de toile peinte,2,non,not a medical product,2,795416
coussin,1,non,,,42621
coussin à faire dentelle,3,non,not a medical product,1,795416
coussin d'espars,8,non,not a medical product,5,795416
coussin de palme,2,non,not a medical product,1,795416
coussin de serge,1,non,not a medical product,1,795416
coussins,0,oui,,,42621
cousus,1,non,not a medical product,1,795416
couteaux,386,non,not a medical product,317,795416
couteaux à couper paille et pour tanneurs,12,non,not a medical product,1,795416
couteaux à deux manches,1,non,not a medical product,,795416
couteaux à gaine,18,non,not a medical product,7,795416
couteaux à hacher la paille,1,non,not a medical product,1,795416
couteaux à indigo,15,non,not a medical product,9,795416
couteaux à manches de bois,2,non,not a medical product,2,795416
couteaux à manches de faïence,1,non,not a medical product,1,795416
couteaux à manches de forme,1,non,not a medical product,,795416
couteaux à manches de gaïac,3,non,not a medical product,2,795416
couteaux à manches de porcelaine,1,non,not a medical product,1,795416
couteaux à manches longs,1,non,,,42621
couteaux à nègre,15,non,not a medical product,1,795416
couteaux à tanneurs,1,non,not a medical product,1,795416
couteaux à virole d'argent,2,non,not a medical product,2,795416
couteaux avec leurs gaines,1,non,not a medical product,,795416
couteaux communs,253,non,not a medical product,199,795416
couteaux de Caen,1,non,,,42621
couteaux de chasse,10,non,not a medical product,8,795416
couteaux de chasse et épée et sabres,105,non,not a medical product,1,795416
couteaux de chasse et sabres,1,non,,,42621
couteaux de Flandre,1,non,not a medical product,,795416
couteaux de gaïac,2,non,not a medical product,1,795416
couteaux de gazat,1,oui,not a medical product,1,795416
couteaux de guerre,1,non,,,42621
couteaux de tables,14,non,not a medical product,5,795416
couteaux de tables communs,1,oui,,,42621
couteaux de traite,1,non,not a medical product,14,795416
couteaux en gaine,1,non,not a medical product,1,795416
couteaux fins,1,non,,,42621
couteaux flamands,133,non,not a medical product,83,795416
couteaux flamands pour l'entrepôt à la destination de Guinée,1,non,not a medical product,,795416
couteaux garnis en argent,6,non,not a medical product,3,795416
coutelas,13,non,not a medical product,12,795416
coutellerie,89,non,not a medical product,78,795416
coutellerie commune,11,non,not a medical product,10,795416
coutellerie de bois,12,non,not a medical product,12,795416
coutellerie de traite,2,non,not a medical product,2,795416
coutil,791,non,not a medical product,381,795416
coutil 2479 lignes,1,non,not a medical product,,795416
coutil à lit,10,non,not a medical product,8,795416
coutil à meubles,1,non,not a medical product,1,795416
coutil chiné,1,non,not a medical product,,795416
coutil de fil,1,non,not a medical product,1,795416
coutil de Hollande,3,non,not a medical product,3,795416
coutil en coupon,1,non,,,42621
coutil en pièces de 10 aunes,1,non,,,42621
couvercles de fer,5,non,not a medical product,4,795416
couvercles de fer de marmites,1,non,not a medical product,1,795416
couvertes d'étoupes,133,non,not a medical product,,795416
couvertes d'étoupes de laine,3,non,not a medical product,,795416
couvertes de laine,169,non,not a medical product,1,795416
couvertes de lisières,9,non,not a medical product,1,795416
couvertes de loques,3,non,not a medical product,,795416
couvertes pour mulets,1,non,not a medical product,1,795416
couvertures,100,non,not a medical product,59,795416
couvertures à nègre,40,non,not a medical product,31,795416
couvertures blanches peignées,1,non,,,42621
couvertures chinée de laine,1,non,,,42621
couvertures communes,1,non,not a medical product,1,795416
couvertures communes de laine,2,non,not a medical product,2,795416
couvertures d'Elbeuf,1,non,not a medical product,1,795416
couvertures d'étoupes,17,non,not a medical product,17,795416
couvertures d'indienne,18,non,not a medical product,15,795416
couvertures de,0,non,,,42621
couvertures de B ???,1,non,not a medical product,1,795416
couvertures de Bazal,1,non,not a medical product,1,795416
couvertures de bourre,3,non,not a medical product,3,795416
couvertures de bourre de soie,4,non,not a medical product,4,795416
couvertures de capiton,8,non,not a medical product,8,795416
couvertures de castalogne,1,non,not a medical product,1,795416
couvertures de coton,245,non,not a medical product,181,795416
couvertures de coton de lit,1,non,not a medical product,1,795416
couvertures de coton et de fil,68,non,not a medical product,58,795416
couvertures de coton et de soie,2,non,not a medical product,2,795416
couvertures de coton fines,1,non,,,42621
couvertures de crin,0,non,not a medical product,1,795416
couvertures de fil,3,non,not a medical product,2,795416
couvertures de filoselle,12,non,not a medical product,12,795416
couvertures de fleur,2,non,not a medical product,2,795416
couvertures de fleuret,2,non,not a medical product,2,795416
couvertures de gros basin,1,non,not a medical product,,795416
couvertures de laine,1044,non,not a medical product,760,795416
couvertures de laine à nègre,1,non,not a medical product,1,795416
couvertures de laine commune,2,non,not a medical product,1,795416
couvertures de laine de bourre,1,non,,,42621
couvertures de laine de Montpellier,1,non,not a medical product,1,795416
couvertures de laine et de coton,19,non,not a medical product,19,795416
couvertures de laine fine,1,non,not a medical product,1,795416
couvertures de laine ordinaire,1,non,not a medical product,,795416
couvertures de Languedoc,2,non,not a medical product,2,795416
couvertures de lit,1,non,,,42621
couvertures de lit de fil et coton,1,non,not a medical product,1,795416
couvertures de lit en satin,2,non,,,42621
couvertures de lit en satin brodé,2,non,,,42621
couvertures de loquette,1,non,not a medical product,1,795416
couvertures de Montpellier,3,non,not a medical product,2,795416
couvertures de mulets,4,non,not a medical product,4,795416
couvertures de placy,6,non,,,42621
couvertures de plocq,72,non,not a medical product,68,795416
couvertures de Rouen,4,non,not a medical product,4,795416
couvertures de satin,2,non,not a medical product,,795416
couvertures de soie,5,non,not a medical product,5,795416
couvertures de toile peinte,2,non,not a medical product,,795416
couvertures de ville,1,non,,,42621
couvertures dites pagnes,1,non,not a medical product,1,795416
couvertures diverses,5,oui,,,42621
couvertures drap et étoffe de laine,3,oui,,,42621
couvertures du Béarn,4,non,not a medical product,4,795416
couvertures du Levant,1,non,not a medical product,1,795416
couvertures et tapis de coton,2,non,not a medical product,2,795416
couvertures et tapis de fleuret,1,non,not a medical product,1,795416
couvertures et tapis de poil,2,non,not a medical product,2,795416
couvertures et tapis et tapisserie de laine,27,non,not a medical product,27,795416
couvertures et tapisseries de laine,27,non,not a medical product,27,795416
couvertures fil et coton,1,non,,,42621
couvertures filets et coton,1,oui,not a medical product,1,795416
couvertures grandes,3,non,not a medical product,,795416
couvertures grandes de laine,3,non,not a medical product,1,795416
couvertures grosses de laine,3,non,not a medical product,3,795416
couvertures grossières,1,non,not a medical product,1,795416
couvertures ordinaires,1,non,not a medical product,,795416
couvertures peintes,1,non,not a medical product,1,795416
couvertures petites,2,non,not a medical product,,795416
couvertures petites de laine,2,non,not a medical product,1,795416
couvertures pour chevaux,5,non,not a medical product,2,795416
couvertures pour nuque,1,non,not a medical product,1,795416
couvertures rayées,1,non,,,42621
couvertures vieilles,2,non,,,42621
crabes et crevettes,11,non,,,42621
crabes et geernaerts,1,oui,not a medical product,1,795416
crabes et limaçons,56,non,not a medical product,1,795416
craie,188,non,not a medical product,165,795416
craie blanche,162,non,not a medical product,50,795416
craie de Besançon,3,non,not a medical product,3,795416
craie et blanc d'Espagne et ocre jaune et rouge,34,non,not a medical product,34,795416
craie et ocre et brun et rouge,31,non,not a medical product,31,795416
craie noire,5,non,not a medical product,2,795416
craie rouge,7,non,not a medical product,6,795416
crane de cire,1,oui,not a medical product,1,795416
crane de graine,1,oui,not a medical product,1,795416
crapaudines,2,non,not a medical product,2,795416
crapaudines de cuivre,1,non,not a medical product,1,795416
crapaudines de fer,1,non,not a medical product,1,795416
crapaudines de fonte,9,non,not a medical product,3,795416
crapaudines de fonte de fer,4,non,not a medical product,2,795416
crapaudines de potin,1,non,,,42621
crasse,1,non,not a medical product,1,795416
crasse d'alquifoux,1,non,not a medical product,1,795416
crasse d'amidon,1,non,not a medical product,1,795416
crasse d'huile,65,non,not a medical product,41,795416
crasse d'huile d'olive,1,non,not a medical product,1,795416
crasse de beurre,1,non,not a medical product,1,795416
crasse de cire,66,non,not a medical product,60,795416
crasse de fer,2,non,not a medical product,1,795416
crasse de graisse,2,non,not a medical product,1,795416
crasse de plomb,1,non,not a medical product,1,795416
crasse de soufre,2,non,not a medical product,2,795416
crasse de suif,3,non,not a medical product,2,795416
crasse de tan,1,non,not a medical product,1,795416
crasse de toile,1,non,not a medical product,,795416
cravates,6,non,not a medical product,4,795416
cravates de coton et mouchoirs de coton,11,non,not a medical product,1,795416
cravates de soie noire,5,non,not a medical product,1,795416
cravates de taffetas noir,2,non,not a medical product,,795416
cravates noires,4,non,not a medical product,,795416
crayons,91,non,not a medical product,83,795416
crayons composés et communs,4,non,not a medical product,4,795416
crayons composés et communs pour métiers,1,non,not a medical product,1,795416
crayons composés et fins,4,non,not a medical product,4,795416
crayons composés et fins pour les arts,1,non,not a medical product,1,795416
crayons d'Allemagne,9,non,not a medical product,4,795416
crayons de bois,2,non,not a medical product,,795416
crayons de pastel,21,non,not a medical product,20,795416
crayons et craie,16,non,not a medical product,16,795416
crayons fins de pastel,0,non,not a medical product,1,795416
crayons fins de pastel et laque et lack-lack des Indes,21,non,not a medical product,21,795416
crayons noirs,10,non,not a medical product,9,795416
crayons rouges,93,non,not a medical product,,795416
crayons simples de pierre,5,non,not a medical product,5,795416
crème,2,non,not a medical product,2,795416
crème de tartre,588,non,narrow medical product,409,26542
crêpe,10,non,not a medical product,7,795416
crêpe d'Alençon,1,non,,,42621
crêpe de laine,87,non,not a medical product,2,795416
crêpe de laine aune,1,oui,not a medical product,1,795416
crêpe de laine de Reims,11,non,,,42621
crêpe de Reims,3,non,not a medical product,14,795416
crêpe de soie,24,non,not a medical product,21,795416
crêpe et crépon,3,non,not a medical product,3,795416
crêpe et étoffe et gaze et passementerie et ruban de soie,23,non,not a medical product,23,795416
crêpe et étoffe et passementerie et ruban de soie,11,non,not a medical product,11,795416
crêpe et gaze et mouchoirs,6,non,not a medical product,6,795416
crêpe et gaze et tulle,29,non,not a medical product,29,795416
crêpe et gaze et tulle de soie,146,non,not a medical product,146,795416
crêpe gaze et tulle de soie,2,oui,,,42621
crêpe noir,1,non,not a medical product,1,795416
crêpe pour chapeaux,38,non,not a medical product,1,795416
crépine de soie,1,non,not a medical product,1,795416
crépon,10,non,not a medical product,9,795416
crépon de laine,6,non,not a medical product,6,795416
