marchandises,marchandises_norm_ortho,mériteplusdetravail
Collier de grenats,colliers de grenat,
Colliers ; d'ambre,colliers d'ambre,
Colliers ; de cheval,colliers de chevaux,
Colliers ; de grenat,colliers de grenat,
Colliers ; de grenats,colliers de grenat,
Colliers ; de jais,colliers de jais,
Colliers ; de perles,colliers de perles,
Colliers ; de Perles ; fausses,colliers de perles fausses,
Colliers ; de perles fausses,colliers de perles fausses,
Colliers ; de verre,colliers de verre,
Colliers de cheval,colliers de chevaux,
Colliers de corail,,
Colliers de perles fausses,colliers de perles fausses,
Collonne de Noyer,colonne de noyer,
colloquinte,coloquinte,
Colloquinte,coloquinte,
Colombinc,colombine,x
colombine,colombine,x
Colombine,colombine,x
Colombine ou engrais de pigeons,colombine ou engrais de pigeon,x
Colombines,colombine,x
Colonnies,colonne,
Colophane ou Spingler,colophane ou spingler,x
coloquinte,coloquinte,
Coloquinte,coloquinte,
Coloquintes,coloquinte,
Colorant et verdegris,colorant et vert-de-gris,
Cols,cols,
"Colza, navettes et autres sans distinction",,
Comestibles,comestibles,
Comestibles ; beurre,comestibles beurre,
Comestibles ; beurre ; salé,comestibles beurre salé,
Comestibles ; beurre frais,comestibles beurre frais,
Comestibles ; beurre salé,comestibles beurre salé,
Comestibles ; bière,comestibles bière,
Comestibles ; bierre,comestibles bière,
Comestibles ; biscuit,comestibles biscuit,
Comestibles ; biscuits,comestibles biscuit,
Comestibles ; bled maïs,comestibles blé maïs,
Comestibles ; bled noir,comestibles blé noir,
Comestibles ; bœuf ; salé,comestibles bœuf salé,
Comestibles ; chairs ; salées ; diverses,comestibles chair salée diverse,
Comestibles ; cochon salé et petit salé,comestibles cochon salé et petit salé,
Comestibles ; confiture,comestibles confitures,
Comestibles ; confitures ; diverses,comestibles confitures diverses,
Comestibles ; cuisses ; d'oyes,comestibles cuisses d'oie,
Comestibles ; divers,comestibles divers,
Comestibles ; farine,comestibles farine,
Comestibles ; farines,comestibles farine,
Comestibles ; fromage,comestibles fromage,
Comestibles ; fromages,comestibles fromage,
Comestibles ; fromages ; divers,comestibles fromage divers,
Comestibles ; grains ; comestibles ; divers,comestibles grains comestibles divers,
Comestibles ; graisses ; diverses,comestibles graisse diverse,
Comestibles ; gruau,comestibles gruau,
Comestibles ; jambon,comestibles jambon,
Comestibles ; lard ; salé,comestibles lard salé,
Comestibles ; pâtes d'Italie et vermichel,comestibles pâte d'Italie et vermicelle,
Comestibles ; ris,comestibles riz,x
Comestibles ; riz,comestibles riz,
Comestibles ; saindoux,comestibles saindoux,
Comestibles beurre,comestibles beurre,
Comestibles beurre salé,comestibles beurre salé,
Comestibles bière,comestibles bière,
Comestibles biscuits,comestibles biscuit,
Comestibles café,comestibles café,
Comestibles divers,comestibles divers,
Comestibles farine,comestibles farine,
Comestibles fromage,comestibles fromage,
Comestibles fromages,comestibles fromage,
Comestibles ris,comestibles riz,x
Comestibles riz,comestibles riz,
Commode,commode,
Commode ; avec dessus ; de marbre,commode avec dessus de marbre,
Commode ; de noyer,commode de noyer,
Commode ; de sapin,commode de sapin,
Commodes,commodes,
commodes ; à dessus de marbre,commode à dessus de marbre,
Commodes ; à dessus marbre,commode à dessus marbre,
Commodes ; avec dessus de marbre,commode avec dessus de marbre,
Commodes ; de bois,commode de bois,
Commodes ; de bois ; violet,commode de bois violet,
Commodes ; de marqueterie,commode de marqueterie,
Commodes ; dessus de marbre,commode dessus de marbre,
Commodes de sapin,commode de sapin,
communes,communes,x
Comode,commode,
Comode de sapin,commode de sapin,
comodes,commode,
Comodes,commode,
Comodes ; avec dessus de marbre,commode avec dessus de marbre,
Comodes ; de sapin,commode de sapin,
Comodes d'acajou,commode d'acajou,
Comodes de bois,commode de bois,
Comodes de bois noyer,commode de bois noyer,
Comodes de noyer,commode de noyer,
Comodes ornées,commode ornée,
Compas,compas,
Compas ; de cuivre,compas de cuivre,
Compas ; de mer,compas de mer,
Compas de cuivre,compas de cuivre,
Compas de mer,compas de mer,
Compas de route,compas de route,
Compas es cartes de nommantes,compas et cartes de nommantes,x
Compas et horloges de sables,compas et horloge de sable,
Comperose,comperose,x
Composition ; de chimie,composition de chimie,
Composition ; de verre,composition de verre,
Compotiers; de terre,compotiers de terre,
concerve de roze,conserve de rose,
concombre et cornichons,concombre et cornichons,
concons de vers à soye,cocons de vers à soie,
Condonne De Fil,condonne de fil,x
Conducteur,conducteur,
Confection,confection,
Confection ; d'Alrkerme,confection d'alkermès,
Confection ; d'hiacinthe,confection d'hyacinthe,
Confection ; d'hyacinte,confection d'hyacinthe,
Confection ; d'yacinthe,confection d'hyacinthe,
Confection d'alkerme,confection d'alkermès,
Confection d'hiacinte,confection d'hyacinthe,
Confection d'hyacinte,confection d'hyacinthe,
Confection d'hyacinthe,confection d'hyacinthe,
Confection d'hyeceinte,confection d'hyacinthe,
Confections ; d'hiacintes,confection d'hyacinthe,
Confecton,confection,
Confitues,confitures,
confiture,confitures,
Confiture,confitures,
Confiture séche,confitures sèches,
Confiture sèches,confitures sèches,
confitures,confitures,
Confitures,confitures,
Confitures ; de l'étranger,,
Confitures à l'eau de vie,confitures à l'eau-de-vie,
Confitures de séche,confitures de sèche,x
Confitures liquides,confitures liquides,
Confitures moutarde fromage &c.,,
confitures seches,confitures sèches,
Confitures seches,confitures sèches,
Confitures sèches,confitures sèches,
Confitures seiches,confitures sèches,
Confitures serises,confitures de cerise,
Confutions d'hyacinthé,confection d'hyacinthe,
Congre,congres,
Congres,congres,
Connoissement,connaissement,
Conscrues ; de fleures d'orange,conserves de fleurs d'orange,
Conserve d'Alkerme,conserve d'alkermès,
conserve de rose,conserve de rose,
conserve de roze,conserve de rose,
Conserve de roze,conserve de rose,
Conterie,conterie,x
Conteries,conterie,x
Conton ; en laine,conton en laine,x
Conton filé,conton filé,x
Contra Hierva,contra yerba,x
Contra hurva,contra yerba,x
Contra yerva,contra yerba,x
Contrabierre,contrabierre,x
Contrabierva,contra yerba,x
Contracyrna,contra yerba,x
Contragerna,contra yerba,x
contrahierva,contra yerba,x
Contrahierva,contra yerba,x
Contrahyerba,contra yerba,x
Contrayerna,contra yerba,x
Contrayerva,contra yerba,x
Contre bordé,contrebordé,x
Contre brodé,contrebordé,x
Contre;foyer;de fer,contrefoyer de fer,x
Contreborde,contrebordé,x
contrebordé,contrebordé,x
Contrebordé,contrebordé,x
contrebrodé,contrebrodé,x
Contrebrodé,contrebrodé,x
Contrefoyer de fer,contrefoyer de fer,x
Contrefoyer de Fer,contrefoyer de fer,x
Conty,conty,x
Copal,,
Copeaux ; pour fourreaux d'épée,copeaux pour fourreaux d'épée,
coperose,couperose,x
Coperoze,,
coperrose,couperose,x
Coqs ; d'Inde,coqs d'Inde,
Coqs ; d'Indes,coqs d'Inde,
Coqs d'inde,,
Coque ; du levant,coque du Levant,
Coque ; levant,coque du Levant,
Coque ; Levant,coque du Levant,
coque de levant,coque du Levant,
Coque de levant,,
Coque de Levant,coque du Levant,
coque du levant,coque du Levant,
Coque du levant,coque du Levant,
Coque du Levant,,
Coque Levan,coque du Levant,
coque levant,coque du Levant,
coque Levant,coque du Levant,
Coque levant,coque du Levant,
Coque Levant,coque du Levant,
Coque Levent,coque du Levant,
Coque-levant,coque du Levant,
Coquenard de cuivre,coquenard de cuivre,x
Coques ; levant,coque du Levant,
Coques ; Levant,coque du Levant,
Coques de coco,,
Coques de mouche à miel,,
Coques du levant,,
Coques levant,coque du Levant,
Coquillage,coquillage,
Coquillages,coquillage,
coquillages de mer,coquillage de mer,
Coquillages pleins ; Huîtres fraîches,,
Coquillages pleins ; Moules,,
Coquille ; de mer,coquilles de mer,
Coquille ; de nacre,coquilles de nacre,
Coquilles ; de mer,coquilles de mer,
Coquilles ; de nacre,coquilles de nacre,
Coquilles ; de nacres,coquilles de nacre,
Coquilles ; de Nacres,coquilles de nacre,
coquilles de mer,coquilles de mer,
Coquilles de mer,coquilles de mer,
Coquilles de Mocres,coquilles de nacre,
Coquilles de nacre,coquilles de nacre,
Coquilles de nacres,coquilles de nacre,
"coquilles, écaille de tortue et nacre de perle",coquilles écaille de tortue et nacre de perles,
coquilles. écaille de tortue et nacre de perle,,
corail,corail,
Corail,corail,
"Corail , brut",corail brut,
"Corail , ouvré",corail ouvré,
Corail ; blanc,corail blanc,
Corail ; brun,corail brun,
Corail ; brut,corail brut,
Corail ; Brut,corail brut,
corail ; de jardin,corail de jardin,
Corail ; de jardin,corail de jardin,
Corail ; de Jardin,corail de jardin,
Corail ; en grabeau,corail en grabeau,x
Corail ; faux,corail faux,
Corail ; fin ; ouvré,corail fin ouvré,
Corail ; gros,corail gros,
Corail ; ouvré,corail ouvré,
Corail ; Ouvré,corail ouvré,
Corail ; rouge,corail rouge,
Corail ; terraile,corail terraille,x
Corail ; terraille,corail terraille,x
Corail blanc,corail blanc,
corail brut,corail brut,
Corail brut,corail brut,
Corail Brut,corail brut,
Corail brut et ouvré,corail brut et ouvré,
Corail brut et taillé,corail brut et taillé,
"Corail brut et taillé, non monté",corail brut et taillé non monté,
"Corail brut, de toute pêche",,
Corail cerrail,corail terraille,x
Corail de jardin,corail de jardin,
Corail De Jardin,corail de jardin,
Corail de terraille,,
Corail de toutes pêches ; brut,,
Corail de toutes pêches ; taillé non monté,,
Corail en filière,corail en filières,
Corail en filières,corail en filières,
Corail faux,corail faux,
Corail fin,corail fin,
Corail fin ouvré,,
Corail gros,corail gros,
corail grossier,corail grossier,
Corail grossier,corail grossier,
Corail ouvré,corail ouvré,
Corail rouge,,
Corail rouge ouvré,,
Corail taillé,,
Corail taillé non monté,corail taillé non monté,
"Corail taillé, mais non monté",,
Corail terail,,
Corail terrail,corail terraille,
Corail terraille,,
Corails ; brut,corail brut,
Corails ouvrés,corail ouvré,
Coralines ; fines,cornalines fines,x
Corbeiles d'osier,,
corbeille,corbeille,
Corbeille d'osier,,
corbeille d'ozier,corbeilles d'osier,
Corbeille d'ozier,,
corbeilles,corbeilles,
Corbeilles,corbeilles,
Corbeilles ; d'osier,corbeilles d'osier,
Corbeilles ; d'ozier,corbeilles d'osier,
Corbeilles d'osier,corbeilles d'osier,
corbeilles d'ozier,corbeilles d'osier,
Corbeilles d'ozier,corbeilles d'osier,
corbeilles d'ozier petites,corbeilles d'osier petites,
Corbeilles dosier,,
Corbeilles garnies,corbeilles garnies,
Corcet ; de Deimette,corsets de demitte,
Corcets,corsets,
corcets de demitte,corsets de demitte,
Corcets de toile,corsets de toile,
cordage,cordage,
Cordage,cordage,
Cordage ; d'auf,cordage d'auf,
Cordage ; d'emballage,cordage d'emballage,
Cordage ; d'espars,cordage d'espars,
Cordage ; d'Espars,cordage d'espars,
Cordage ; de chanvre,cordage de chanvre,
Cordage ; de jongs,cordage de jonc,
Cordage ; de Jongs,cordage de jonc,
Cordage ; de Satangres,cordage de satangres,x
Cordage ; de thil,cordage de thil,x
Cordage ; de tilleul,cordage de tilleul,
Cordage ; vieux,cordage vieux,
Cordage d'Auffe,cordage d'auf,
Cordage d'embalage,cordage d'emballage,
Cordage d'emballage,cordage d'emballage,
Cordage d'espars,,
Cordage de Caret,cordage de caret,
Cordage de chanure,cordage de chanvre,
cordage de chanvre,cordage de chanvre,
Cordage de chanvre,cordage de chanvre,
Cordage de chanvre neuf,,
Cordage de chanvre vieux,,
Cordage divers,cordage divers,
Cordage en cables neufs,,
Cordage en chanvre,cordage en chanvre,
Cordage et ficelle,cordage et ficelle,
Cordage goudronné,cordage goudronné,
Cordage neuf,,
cordage vieux,cordage vieux,
Cordage vieux,cordage vieux,
Cordage; De chanvre,cordage de chanvre,
Cordage; Herbe,cordage herbe,
cordages,cordage,
Cordages,cordage,
Cordages ; ???,cordage ???,
Cordages ; à boyaux,cordage à boyaux,
Cordages ; d'auf,cordage d'auf,
Cordages ; d'Auf,cordage d'auf,
Cordages ; d'auffe,cordage d'auf,
Cordages ; d'autres végétaux,,
"Cordages ; d'autres végétaux, tilleul, sparte et jonc",,
Cordages ; d'espar,cordage d'espars,
Cordages ; d'espars,cordage d'espars,
Cordages ; d'Espars,cordage d'espars,
Cordages ; d'ethit,cordage de thil,x
Cordages ; de chanvre,cordage de chanvre,
Cordages ; de Chanvre,cordage de chanvre,
Cordages ; de chanvrée,cordage de chanvre,
Cordages ; de jongs,cordage de jonc,
Cordages ; de jougs,cordage de jonc,
Cordages ; de tilleul,cordage de tilleul,
Cordages ; divers,cordage divers,
Cordages ; Divers,cordage divers,
Cordages ; en ficelle,cordage en ficelle,
Cordages ; en ficelles,cordage en ficelle,
Cordages ; en morceaux,cordage en morceaux,
Cordages ; Filets neufs en état de servir,,
Cordages ; filets neufs ou en état de servir,,
Cordages ; gaudronnés,cordage goudronné,
Cordages ; neufs,cordage neuf,
Cordages ; vieux,cordage vieux,
Cordages blancs,cordage blanc,
Cordages d'espar,,
Cordages d'espares,cordage d'espars,
Cordages d'espars,,
Cordages d'Espars,,
Cordages d'espart,,
cordages d'esparts,cordage d'espars,
Cordages d'esparts,cordage d'espars,
cordages de chanvre,cordage de chanvre,
Cordages de chanvre,cordage de chanvre,
Cordages de Chanvre,cordage de chanvre,
cordages de chanvre neuf,cordage de chanvre neuf,
Cordages de chanvres,,
Cordages de jonc,cordage de jonc,
Cordages de tilleul,cordage de tilleul,
Cordages de vieux,cordage de vieux,
Cordages dit filain assorti,cordage dit filin assorti,
Cordages divers,cordage divers,
Cordages et cordes,cordage et cordes,
Cordages et ficelle,cordage et ficelle,
Cordages et ficelles,cordage et ficelle,
Cordages Gaudronnés,cordage goudronné,
Cordages goudronnés,cordage goudronné,
cordages neufs,cordage neuf,
Cordages noirs,cordage noir,
cordages vieux,cordage vieux,
Cordages vieux,cordage vieux,
Cordages;,cordage,
Cordages; Vieux,cordage vieux,
Cordagnes,cordagnes,x
Cordallards,cordeillat,x
Cordcillards,cordeillat,x
Corde ; à boyaux,cordes à boyaux,
Corde a boyaux,,
corde de chanvre,cordes de chanvre,
Corde de chanvre,,
Corde ficelle,cordes ficelle,
Cordeillar,cordeillat,x
Cordeillard,cordeillat,x
Cordeillard; de Colmar,,
Cordeillards,cordeillat,x
Cordeillaros,cordeillat,x
Cordeillart,cordeillat,x
Cordeillas,cordeillat,
Cordeillas de Piemont,,
Cordeillat,cordeillat,x
Cordeillat d'Oleron,cordeillat d'Oléron,
Cordeillat de colmar,,
Cordeillat de colmard,,
Cordeillat de colmars,,
Cordeillat de provence,cordeillat de Provence,x
Cordeillats,cordeillat,
Cordeillats de laine,cordeillat de laine,
Cordelats,cordelats,x
Cordellerie,ccordellerie,x
Corder a corder,cordes à corder,
Cordes,cordes,
Cordes ; à arçon,cordes à arçons,
Cordes ; à arçons,cordes à arçons,
Cordes ; à boyau,cordes à boyau,
Cordes ; a boyaux,cordes à boyau,
Cordes ; à boyaux,cordes à boyau,
Cordes ; à boyaux et à violon,cordes à boyau et à violons,
Cordes ; à carder,cordes à carder,
Cordes ; à foüet,cordes à fouets,
Cordes ; à instruments,cordes à instruments,
Cordes ; à rozeaux,cordes à roseaux,
Cordes ; à violon,cordes à violons,
Cordes ; à violons,cordes à violons,
Cordes ; d'arcon,cordes d'arçons,
Cordes ; d'arçon,cordes d'arçons,
Cordes ; d'arçons,cordes d'arçons,
Cordes ; darcons,cordes d'arçons,
Cordes ; de boyaux,cordes de boyau,
Cordes ; de chanvre,cordes de chanvre,
Cordes ; de chil,cordes de thil,
Cordes ; de guitarre,cordes de guitare,
Cordes ; de thil,cordes de thil,
Cordes ; de tilleul,cordes de tilleul,
Cordes ; de violon,cordes de violons,
Cordes ; violon,cordes violons,
Cordes a boyau,,
Cordes a boyaux,cordes à boyaux,
Cordes à boyaux,cordes à boyaux,
Cordes à Boyaux,cordes à boyaux,
Cordes a boyeau,,
Cordes à carder,cordes à carder,
Cordes à carder le coton,cordes à carder le coton,
Cordes à instrument,cordes à instruments,
Cordes a villons,,
Cordes a violon,cordes à violons,
cordes à violon,cordes à violons,
Cordes à violon,cordes à violons,
Cordes à violon (?),cordes à violons ???,
Cordes a violons,,
cordes à violons,cordes à violons,
Cordes à violons,cordes à violons,
Cordes à Violons,cordes à violons,
Cordes d'arçons,,
cordes d'auf,cordes d'auf,
Cordes d'auf,cordes d'auf,
Cordes d'embalage,,
Cordes d'emballage,,
Cordes d'instrumens,cordes d'instruments,
Cordes d'or,cordes d'or,
Cordes de Boyau,cordes de boyau,
cordes de boyaux,cordes de boyau,
Cordes de boyaux,cordes de boyau,
cordes de chanvre,cordes de chanvre,
Cordes de chanvre,cordes de chanvre,
cordes de fil de fer,cordes de fil de fer,
Cordes de guitare,cordes de guitare,
Cordes de guitarre,,
Cordes de jonc,cordes de jonc,
Cordes de joncs,cordes de jonc,
Cordes de violon,,
cordes de violons,cordes de violons,
Cordes de violons,cordes de violons,
Cordes en boyaux,cordes en boyau,
cordes et boyau,cordes et boyaux,
Cordes et cordages,cordes et cordage,
cordes et ecorces de tilleul,cordes et écorce de tilleul,
Cordes et ficelle,,
Cordes et ficelles,cordes et ficelles,
Cordes neuves,cordes neuves,
Cordes pour instruments,cordes pour instruments,
Cordes vieilles,cordes vieilles,
cordes vielles,cordes vieilles,
Cordes Violon,cordes violons,
"cordes, cables et ficelles",cordes câble et ficelles,
Cordes; De boyaux,cordes de boyau,
Cordes; Pour violons,cordes pour violons,
cordes. cables et ficelles,,
Cordilaterie,cordeillaterie,x
Cordilatrie,cordeillaterie,
Cordillards,cordeillat,x
Cordillas,cordeillat,
Cordillaterie,cordeillaterie,x
Cordillateries,cordeillaterie,x
Cordillatrie,cordeillaterie,x
Cordillats,cordeillat,x
Cordnes a lanternes,cornes à lanternes,
Cordon,cordons,
Cordon de filoselle,,
Cordonnes,cordonnes,x
cordonnet,cordonnet,
Cordonnet ; de poil,cordonnet de poil,
cordonnet de fil,cordonnet de fil,
Cordonnet de fil,,
Cordonnets de poil,cordonnet de poil,
Cordons,cordons,
Cordons ; d'argent,cordons d'argent,
Cordons ; d'or,cordons d'or,
Cordons ; d'or et d'argent,cordons d'or et d'argent,
Cordons ; de fil,cordons de fil,
Cordons ; de filoselle,cordons de filoselle,
Cordons ; de fleures,cordons de fleures,x
Cordons ; de fleuret,cordons de fleuret,
Cordons ; de fleurs,cordons de fleurs,
Cordons ; de montre,cordons de montres,
Cordons ; de montre ; avec or,cordons de montres avec or,
Cordons ; de soye,cordons de soie,
Cordons ; de soye ; d'argent,cordons de soie d'argent,
Cordons ; de soye ; or et argent,cordons de soie or et argent,
Cordons ; de soye or et argent,cordons de soie or et argent,
"Cordons ; de soye, or et argent, par onces",cordons de soie or et argent par once,
