marchandises_normalisees	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG	SITC_rev1	SITC_rev2	remarques_marchandises
"Drogues ; Tournesol"		""	""	""	""	""	""
"Droguet"		""	""	"…"	"6"	"6"	""
"Droguet ; de laine"		""	""	"…"	"6"	"6b"	""
"Droguet et Maroc"	6	"6b"	""	""	""	""	""
"Drogue ; Essence de térébenthine"		""	""	""	""	""	""
"Drogue ; Huile de térébenthine"		""	""	""	""	""	""
"Duffel"	6	"6b"	"drap de duffel"	""	""	""	""
"Duffel ; teint"		""	""	""	""	""	""
"Duyvelsterck"	5	"5"	""	""	""	""	""
"Déchets de pierre"		""	""	""	""	""	""
"Décorations pour carosses"		""	""	""	""	""	""
"Dégrau"		""	""	""	""	""	""
"Dés"		""	""	""	""	""	""
"Dés ; de cuivre"		""	""	""	""	""	""
"Dés ; de fer"		""	""	""	""	""	""
"Dés ; de laiton"		""	""	""	""	""	""
"Dés ; à coudre"		""	""	""	""	""	""
"Dés ; à jouer"		""	""	""	""	""	""
"Eau ; cordiale"		""	""	"..."	"5"	"5"	""
"Eau ; d'anis"		""	""	""	""	""	""
"Eau ; d'arquebusade"	5	"5"	""	""	""	""	""
"Eau ; de Barbades"		""	""	""	""	""	""
"Eau ; de Bristol"		""	""	"..."	"5"	"5"	""
"Eau ; de Bussing"		""	""	""	""	""	""
"Eau ; de Bussingne"		""	""	""	""	""	""
"Eau ; de Carmes"		""	""	"..."	"5"	"5"	""
"Eau ; de Cologne"		""	""	"..."	"5"	"5"	""
"Eau ; de Spa"		""	""	"..."	"5"	"5"	""
"Eau ; de bergamote"		""	""	""	""	""	""
"Eau ; de bergamottes"		""	""	"..."	"5"	"5"	""
"Eau ; de canelle"		""	""	"..."	"5"	"5"	""
"Eau ; de cannelle"		""	""	""	""	""	""
"Eau ; de cerises"		""	""	""	""	""	""
"Eau ; de citron"		""	""	""	""	""	""
"Eau ; de cologne"		""	""	""	""	""	""
"Eau ; de composition"		""	""	"..."	"5"	"5"	""
"Eau ; de fleur d'orange"		""	""	"..."	"5"	"5"	""
"Eau ; de genièvre"		""	""	""	""	""	""
"Eau ; de la Reine d'Hongrie"		""	""	""	""	""	""
"Eau ; de lavande"		""	""	""	""	""	""
"Eau ; de melice"		""	""	""	""	""	""
"Eau ; de mirrhe"		""	""	""	""	""	""
"Eau ; de nar"		""	""	""	""	""	""
"Eau ; de pin"		""	""	""	""	""	""
"Eau ; de plombiere"		""	""	""	""	""	""
"Eau ; de raisin"		""	""	""	""	""	""
"Eau ; de rose"		""	""	""	""	""	""
"Eau ; de roze"		""	""	"..."	"5"	"5"	""
"Eau ; de sel"		""	""	""	""	""	""
"Eau ; de senteur"		""	""	""	""	""	""
"Eau ; de senteur ; de bergamote"		""	""	""	""	""	""
"Eau ; de senteur ; de bergamotte"		""	""	"..."	"5"	"5"	""
"Eau ; de senteur ; de citron"		""	""	"..."	"5"	"5"	""
"Eau ; de senteur ; de la Reine d'Hongrie"		""	""	""	""	""	""
"Eau ; de senteur ; de la Reine d'hongrie"		""	""	"..."	"5"	"5"	""
"Eau ; de senteur ; de lavande"		""	""	"..."	"5"	"5"	""
"Eau ; de senteur ; de nard"		""	""	""	""	""	""
"Eau ; de senteur ; diverses"		""	""	"..."	"5"	"5"	""
"Eau ; de senteur ; rose"		""	""	""	""	""	""
"Eau ; de senteur ; roze"		""	""	"..."	"5"	"5"	""
"Eau ; de senteur ; sans pareille"		""	""	""	""	""	""
"Eau ; de senteur et quintessence"	2	"2"	""	""	""	""	""
"Eau ; de tartre"		""	""	""	""	""	""
"Eau ; de vie"		""	""	""	""	""	""
"Eau ; de vie ; de grain ; de genièvre"		""	""	""	""	""	""
"Eau ; de vie ; de vin"		""	""	""	""	""	""
"Eau ; des carmes"		""	""	""	""	""	""
"Eau ; des cavernes"		""	""	""	""	""	""
"Eau ; des farmes"		""	""	"…"	"1"	"1"	""
"Eau ; distillée"		""	""	""	""	""	""
"Eau ; divine"		""	""	""	""	""	""
"Eau ; ferrée"		""	""	"..."	"5"	"5"	""
"Eau ; forte"	5	"5"	""	""	""	""	""
"Eau ; genievre"		""	""	"..."	"5"	"5"	""
"Eau ; genièvre"		""	""	""	""	""	""
"Eau ; medicinale"	5	"5"	"eau de sels de Spa et autres medicinales"	""	""	""	""
"Eau ; medicinalle"		""	""	"..."	"5"	"5"	""
"Eau ; minerale"	5	"5"	""	""	""	""	""
"Eau ; minérale"		""	""	"…"	"1"	"1"	""
"Eau ; médecinale"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; cordiale"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; d'arquebusan"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; d'arquelnisade"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; de canelle"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; de coclearia"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; de fleur d'oranger"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; de genièvre"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; de melice"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; de pin"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; de raisins"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; des farmes"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; diverses"		""	""	"..."	"5"	"5"	""
"Eau ; médecinale ; mineralle"		""	""	"..."	"5"	"5"	""
"Eau ; médicinale"		""	""	""	""	""	""
"Eau ; médicinale ; cordiale"		""	""	""	""	""	""
"Eau ; médicinale ; d'arquebusan"		""	""	""	""	""	""
"Eau ; médicinale ; d'arquelnisade"		""	""	""	""	""	""
"Eau ; médicinale ; de cannelle"		""	""	""	""	""	""
"Eau ; médicinale ; de coclearia"		""	""	""	""	""	""
"Eau ; médicinale ; de fleur d'oranger"		""	""	""	""	""	""
"Eau ; médicinale ; de genièvre"		""	""	""	""	""	""
"Eau ; médicinale ; de melice"		""	""	""	""	""	""
"Eau ; médicinale ; de pin"		""	""	""	""	""	""
"Eau ; médicinale ; de raisins"		""	""	""	""	""	""
"Eau ; médicinale ; des farmes"		""	""	""	""	""	""
"Eau ; médicinale ; diverses"		""	""	""	""	""	""
"Eau ; médicinale ; minérale"		""	""	""	""	""	""
"Eau ; ocgeniente"		""	""	""	""	""	""
"Eau ; octaze"		""	""	""	""	""	""
"Eau ; rose"		""	""	""	""	""	""
"Eau ; roze"		""	""	"..."	"5"	"5"	""
"Eau ; sans pareille"		""	""	""	""	""	""
"Eau ; vulnéraire"		""	""	""	""	""	""
"Eau ; à noirir tabac"	3	"3"	""	""	""	""	""
"Eau ;médecinale ; vulnéraire"		""	""	"..."	"5"	"5"	""
"Eau ;médicinale ; vulnéraire"		""	""	""	""	""	""
"Eau et huiles spiritueuses"		""	""	""	""	""	""
"Ebenisterie"		""	""	"…"	"6"	"6"	""
"Ebénisterie"		""	""	""	""	""	""
"Ecaille ; ?"		""	""	""	""	""	""
"Ecaille ; de cahoüanne"		""	""	""	""	""	""
"Ecaille ; de carret"		""	""	""	""	""	""
"Ecaille ; de poisson"		""	""	"..."	"2"	"2"	""
"Ecaille ; de tortue"	2	"2"	""	""	""	""	""
"Ecaille ; diverses"		""	""	""	""	""	""
"Ecaille ; octomïe"		""	""	"..."	"2"	"2"	""
"Ecaille ; octomœe"		""	""	""	""	""	""
"Ecarts de beuf"		""	""	"…"	"0"	"0a"	""
"Ecarts de bœuf"		""	""	""	""	""	""
"Echalas"		""	""	""	""	""	""
"Echalats"		""	""	"..."	"0"	"0a"	""
"Echalotes"		""	""	""	""	""	""
"Echalottes"		""	""	"..."	"0"	"0a"	""
"Echantillons et morceaux de soye"	2	"2"	"morceaux et echantillons de soyerie"	""	""	""	""
"Echelles"	6	"6"	""	""	""	""	""
"Ecopes"		""	""	""	""	""	""
"Ecorce ; ?"		""	""	""	""	""	""
"Ecorce ; d'arbre"		""	""	"..."	"2"	"2"	""
"Ecorce ; d'arbre Etoffe"		""	""	"..."	"2"	"2"	""
"Ecorce ; d'arbre Étoffe"		""	""	""	""	""	""
"Ecorce ; d'orange"		""	""	""	""	""	""
"Ecorce ; de bois"		""	""	""	""	""	""
"Ecorce ; de cacao"		""	""	"..."	"2"	"2"	""
"Ecorce ; de chêne"		""	""	""	""	""	""
"Ecorce ; de chêne moulue"	5	"5"	""	""	""	""	""
"Ecorce ; de citron"		""	""	""	""	""	""
"Ecorce ; de cèdre"		""	""	""	""	""	""
"Ecorce ; de grenade"		""	""	""	""	""	""
"Ecorce ; de hesne"		""	""	""	""	""	""
"Ecorce ; de magellan"	5	"5"	""	""	""	""	""
"Ecorce ; de tilleul"	5	"5"	""	""	""	""	""
"Ecorce ; diverse"		""	""	""	""	""	""
"Ecorces ; de hesne"		""	""	"..."	"2"	"2"	""
"Ecorce ; d'arbres, bast, foularde"	6	"6c"	"ecorces d'arbre"	""	""	""	""
"Ecorce ; d'oranges seches"	0	"0a"	""	""	""	""	""
"Ecritoire"		""	""	"…"	"8"	"8"	""
"Ecritoire ; garni d'or"		""	""	""	""	""	""
"Effilé ; de fil"		""	""	""	""	""	""
"Effilé ; de soie"		""	""	""	""	""	""
"Efforces à tondre"	6	"6"	""	""	""	""	""
"Egoutoirs"		""	""	"..."	"6"	"6"	""
"Egouttoirs"		""	""	""	""	""	""
"Elbots"	0	"0a"	""	""	""	""	""
"Elbots ; salés"		""	""	""	""	""	""
"Elebor"		""	""	""	""	""	""
"Elexir"		""	""	"..."	"5"	"5"	""
"Elixir"		""	""	""	""	""	""
"Email"		""	""	"..."	"5"	"5"	""
"Emery"	5	"5"	""	""	""	""	""
"Empeignes"		""	""	""	""	""	""
"Empeignes ; brodées pour souliers"	6	"6"	""	""	""	""	""
"Empeignes ; couppés pour Empeignes ;"	6	"6"	""	""	""	""	""
"Empeignes ; de souliers"		""	""	"…"	"6"	"6"	""
"Empeignes ; de souliers emprimées"	8	"8"	""	""	""	""	""
"Empeignes ; de toille"	6	"6"	""	""	""	""	""
"Empeignes ; et talons de cuir coupé"	6	"6"	""	""	""	""	""
"Empeignes ; peintes pour souliers"		""	""	""	""	""	""
"Encens"		""	""	""	""	""	""
"Ences"		""	""	""	""	""	""
"Enclumes"		""	""	"..."	"6"	"6"	""
"Enclumes ; de fer"		""	""	"..."	"6"	"6"	""
"Encre"		""	""	""	""	""	""
"Encre ; d'imprimerie"		""	""	""	""	""	""
"Encre ; de la chine"		""	""	""	""	""	""
"Encre ; rouge"		""	""	"..."	"8"	"8"	""
"Encre ; à écrire"		""	""	"..."	"8"	"8"	""
"Encre ; commune"	8	"8"	"encre à ecrire"	""	""	""	""
"Endives"	0	"0a"	""	""	""	""	""
"Engrais"		""	""	""	""	""	""
"Epars"		""	""	""	""	""	""
"Epice de curons"		""	""	""	""	""	""
"Epicerie"		""	""	""	""	""	""
"Epicerie ; Poivre ; blanc"	0	"0b"	""	""	""	""	""
"Epicerie ; Poivre ; long"		""	""	""	""	""	""
"Epicerie ; Poivre ; noir"		""	""	""	""	""	""
"Epicerie ; canelle"		""	""	"..."	"0"	"0b"	""
"Epicerie ; cannelle"		""	""	""	""	""	""
"Epicerie ; diverse"		""	""	""	""	""	""
"Epicerie ; girofle"		""	""	""	""	""	""
"Epicerie ; muscade"		""	""	""	""	""	""
"Epicerie ; poivre en grabeau"		""	""	""	""	""	""
"Epicerie ; poivre giroflé"		""	""	"..."	"0"	"0b"	""
"Epicerie ; poivre ordinaire"		""	""	"..."	"0"	"0b"	""
"Epicerie ; poivre piment"		""	""	""	""	""	""
"Epicerie : Poivre"		""	""	""	""	""	""
"Epingles"		""	""	"..."	"6"	"6"	""
"Epingles ; communes"	6	"6"	"epingles ordinaires"	""	""	""	""
"Epingles ; en cuivre"	6	"6"	"epingles de cuivre"	""	""	""	""
"Eponges"	2	"2"	""	""	""	""	""
"Epousterie"		""	""	""	""	""	""
"Epées ; d'argent"		""	""	"…"	"9"	"9"	""
"Epées ; d'argent et de cuivre"		""	""	"…"	"9"	"9"	""
"Epées ; de cuivre"		""	""	"…"	"9"	"9"	""
"Ergots ; d'Elbeuf"		""	""	""	""	""	""
"Ergots ; de bœuf"		""	""	""	""	""	""
"Escabilles"		""	""	""	""	""	""
"Escamitte"		""	""	""	""	""	""
"Escarasse"		""	""	""	""	""	""
"Escargots"		""	""	""	""	""	""
"Escargots et crekels"	0	"0a"	""	""	""	""	""
"Escayolle"		""	""	""	""	""	""
"Esclephins"	0	"0a"	"merlans, esclephins ou schelvisch, la mande de 50 pieces"	""	""	""	""
"Esclephins ; salés"	0	"0a"	""	""	""	""	""
"Esco"		""	""	""	""	""	""
"Escortines"		""	""	""	""	""	""
"Escots ; de fer"		""	""	""	""	""	""
"Escrabille"	3	"3"	"ecrabrille"	""	""	""	""
"Espagnolette"	6	"6b"	""	""	""	""	""
"Espardilles"		""	""	""	""	""	""
"Espars"		""	""	""	""	""	""
"Espice de curons"		""	""	"..."	"1"	"1"	""
"Esprit ; de Coclearia"		""	""	""	""	""	""
"Esprit ; de bergamote"		""	""	""	""	""	""
"Esprit ; de bergamotte"		""	""	"..."	"5"	"5"	""
"Esprit ; de cedra"		""	""	"..."	"5"	"5"	""
"Esprit ; de citron"		""	""	""	""	""	""
"Esprit ; de cornes de cerf"		""	""	""	""	""	""
"Esprit ; de cèdre"		""	""	""	""	""	""
"Esprit ; de nitre"		""	""	""	""	""	""
"Esprit ; de sel"		""	""	""	""	""	""
"Esprit ; de vin"		""	""	""	""	""	""
"Esprit ; de vitriol"		""	""	""	""	""	""
"Esprots fumés"	0	"0a"	""	""	""	""	""
"Esquinne"	5	"5"	""	""	""	""	""
"Essence"		""	""	""	""	""	""
"Essence ; de bergamote"		""	""	""	""	""	""
"Essence ; de bergamotte"		""	""	"…"	"5"	"5"	""
"Essence ; de canelle"		""	""	"…"	"5"	"5"	""
"Essence ; de cannelle"		""	""	""	""	""	""
"Essence ; de citron"		""	""	"…"	"5"	"5"	""
"Essence ; de girofle"		""	""	""	""	""	""
"Essence ; de géroffle"		""	""	"…"	"5"	"5"	""
"Essence ; de muscade"		""	""	""	""	""	""
"Essence ; de muscades"		""	""	"…"	"5"	"5"	""
"Essence ; de térébenthine"		""	""	"…"	"5"	"5"	""
"Essence ; de vitriol"		""	""	""	""	""	""
"Essence ; diverse"		""	""	""	""	""	""
"Essence ; de cendre de bois"		""	""	""	""	""	""
"Essieux"	6	"6"	""	""	""	""	""
"Essieux ; de fer"		""	""	"…"	"6"	"6"	""
"Estampes"		""	""	"..."	"5"	"5"	""
"Estampes et gravures"		""	""	""	""	""	""
"Estrasse ; de Savoie"		""	""	""	""	""	""
"Estrasse ; de savoye"		""	""	"..."	"6"	"6c"	"Chiffons"
"Estrasse ; de soie"		""	""	""	""	""	""
"Esturgeons"	0	"0a"	""	""	""	""	""
"Esturgeons ; en daube"	0	"0a"	""	""	""	""	""
"Esturgeons ; salés"		""	""	""	""	""	""
"Estère de jonc"		""	""	""	""	""	""
"Etaim"		""	""	"..."	"6"	"6"	""
"Etain"		""	""	""	""	""	""
"Etain ; battu"		""	""	""	""	""	""
"Etain ; brut"		""	""	"..."	"6"	"6"	""
"Etain ; d'Angleterre"		""	""	""	""	""	""
"Etain ; d'angleterre"		""	""	"..."	"6"	"6"	""
"Etain ; de Melac"		""	""	""	""	""	""
"Etain ; de glace"		""	""	""	""	""	""
"Etain ; des Indes"		""	""	""	""	""	""
"Etain ; divers"		""	""	""	""	""	""
"Etain ; en baguette"		""	""	""	""	""	""
"Etain ; en bloc"		""	""	""	""	""	""
"Etain ; en feuille"		""	""	""	""	""	""
"Etain ; fin"		""	""	""	""	""	""
"Etain ; ouvré"		""	""	"..."	"6"	"6"	""
"Etain ; pour soudure"		""	""	""	""	""	""
"Etain ; vieux"		""	""	"..."	"6"	"6"	""
"Etalchasse"		""	""	""	""	""	""
"Etamette"		""	""	"..."	"6"	"6b"	"petite étoffe légère (sans doute une variante de l’étamine)BD"
"Etamettes dauphines casinettes"		""	""	""	""	""	""
"Etamine ; buraite"		""	""	"..."	"6"	"6b"	""
"Etamine ; d'agen"		""	""	"..."	"6"	"6b"	""
"Etamine ; d'amiens"		""	""	"..."	"6"	"6b"	""
"Etamine ; d'auvergne"		""	""	"..."	"6"	"6b"	""
"Etamine ; de Acims"		""	""	"..."	"6"	"6b"	""
"Etamine ; de Nogent"		""	""	"..."	"6"	"6b"	""
"Etamine ; de Noyau"		""	""	"..."	"6"	"6b"	""
"Etamine ; de Reims"		""	""	"..."	"6"	"6b"	""
"Etamine ; de laine"		""	""	"..."	"6"	"6b"	""
"Etamine ; des prises"		""	""	"..."	"6"	"6b"	""
"Etamine ; du Mans"		""	""	"..."	"6"	"6b"	""
"Etamine ; du slans"		""	""	"..."	"6"	"6b"	""
"Etamine ; rayée"		""	""	"..."	"6"	"6b"	""
"Etamine ; à pavillon"		""	""	"..."	"6"	"6b"	""
"Etaya"		""	""	"..."	"..."	"..."	""
"Etendelles"		""	""	""	""	""	""
"Etocs"		""	""	""	""	""	""
"Etoffe ; Imperiale"		""	""	"..."	"6"	"6"	""
"Etoffe ; Serge de soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; au 1/4 de soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; crêpe"		""	""	"..."	"6"	"6"	"Laine ou soie"
"Etoffe ; d'argent"		""	""	"..."	"6"	"6"	""
"Etoffe ; d'herbes"		""	""	"..."	"6"	"6"	""
"Etoffe ; d'or"		""	""	"..."	"6"	"6"	""
"Etoffe ; de bourre de soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de capiton"		""	""	"..."	"6"	"6"	""
"Etoffe ; de coton"		""	""	"cotton"	"6"	"6d"	""
"Etoffe ; de coton ; ?"		""	""	"cotton"	"6"	"6d"	""
"Etoffe ; de coton ; cotonné"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de coton ; divers"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de coton ; velour"		""	""	"cotton"	"6"	"6d"	""
"Etoffe ; de coton et fil"		""	""	"..."	"6"	"6a"	""
"Etoffe ; de coton et laine"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de fil"		""	""	"..."	"6"	"6a"	""
"Etoffe ; de fil et laine"		""	""	"linens"	"6"	"6c"	""
"Etoffe ; de filozelle"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de fleures et coton"		""	""	"cotton"	"6"	"6d"	""
"Etoffe ; de fleures et laine"		""	""	"cotton"	"6"	"6b"	""
"Etoffe ; de fleuret"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de laine"		""	""	"broadcloth"	"6"	"6b"	""
"Etoffe ; de laine et poil"		""	""	"broadcloth"	"6"	"6b"	""
"Etoffe ; de poil"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; ?"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; allemande"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; baracan"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; bouras"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; callemande"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; camelot"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; de catalogne"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; lampareille"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; ligatures"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; nina"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; philipichine"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; polini"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; prunelle"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; sorge de rome"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil ; tanillas"		""	""	"..."	"6"	"6b"	""
"Etoffe ; de poil et fil"		""	""	"linens"	"6"	"6b"	""
"Etoffe ; de poil et laine"		""	""	"broadcloth"	"6"	"6b"	""
"Etoffe ; de soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; ?"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; Morenine"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; bours"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; crêpe"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; damas"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; de Levant"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; des Indes"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; diverses"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; draguet"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; panine"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; satin"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; serge"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; taffetas"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; velours"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; voile"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie ; à peu de soye"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; de soie et dorure"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; diverses"		""	""	"..."	"6"	"6"	""
"Etoffe ; dorure ; d'argent"		""	""	"..."	"6"	"6"	""
"Etoffe ; dorure ; d'or"		""	""	"..."	"6"	"6"	""
"Etoffe ; dorure ; d'or et d'argent"		""	""	"..."	"6"	"6"	""
"Etoffe ; dorure ; d'or faux"		""	""	"..."	"6"	"6"	""
"Etoffe ; droguet"		""	""	"..."	"6"	"6b"	"Pourrait-être laine et fil"
"Etoffe ; droguet ; de soie"		""	""	"..."	"6"	"6c"	""
"Etoffe ; façonnée"		""	""	"..."	"6"	"6"	""
"Etoffe ; fil et coton"		""	""	"..."	"6"	"6a"	""
"Etoffe ; finette"		""	""	"..."	"6"	"6"	""
"Etoffe ; mi soie"		""	""	"..."	"6"	"6c"	""
"Etoffe ; mitées ; mi soie"		""	""	"..."	"6"	"6c"	""
"Etoffe ; mélangées de ces matières"		""	""	"..."	"6"	"6"	""
"Etoffe ; mêlée ; buraille"		""	""	"..."	"6"	"6"	""
"Etoffe ; mêlée ; mi soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; ?"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; au fil"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; au quart"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; coton et soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; greek"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; grisette"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; mi soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; panne"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; papeline"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; peluche"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; ripe de velour"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; siamoise"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; soie et coton"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; soie et fil"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; tripe de velour"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; trippe de velour"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; velour d'Otreck"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; velour de Genes"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; à peu"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlée de soie ; à peu de soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlées de soie ; au 4/5ème de soye"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlées de soie ; au 6ème de soye"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlées de soie ; au quart de soye"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; mêlées de soie ; velour d'Utrecht"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; noire"		""	""	"..."	"6"	"6"	""
"Etoffe ; or et argent"		""	""	"..."	"6"	"6"	""
"Etoffe ; riche"		""	""	"..."	"6"	"6"	""
"Etoffe ; riches en or et argent"		""	""	"..."	"6"	"6"	""
"Etoffe ; satin"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; taffetas"		""	""	"..."	"6"	"6"	""
"Etoffe ; velour ; d'Utrecht"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; velours"		""	""	"..."	"6"	"6"	""
"Etoffe ; à peu de soie"		""	""	"silk fabrics"	"6"	"6c"	""
"Etoffe ; étrangeres ; des judes"		""	""	"..."	"6"	"6"	""
"Etoffe ; étrangères"		""	""	"..."	"6"	"6"	""
"Etoffes"		""	""	""	""	""	""
"Etoupes"		""	""	"..."	"6"	"6"	""
"Etoupes ; de chanvre"		""	""	"..."	"6"	"6a"	""
"Etoupes ; de lin"		""	""	"linens"	"6"	"6a"	""
"Etoupes ; de soie"		""	""	"..."	"6"	"6c"	""
"Etuis"		""	""	"..."	"8"	"8"	""
"Euphorbe"		""	""	""	""	""	""
"Eventails"		""	""	""	""	""	""
"Eventails ; communs"		""	""	"..."	"8"	"8"	""
"Eventails ; de palmes"		""	""	"..."	"8"	"8"	""
"Eventails ; de taffetas"		""	""	"..."	"8"	"8"	""
"Eventails ; fins"		""	""	"..."	"8"	"8"	""
"Extrait ; de genièvre"		""	""	""	""	""	""
"Extrait ; de lavande"		""	""	""	""	""	""
"Extrait ; de quinquina"		""	""	""	""	""	""
"Fagots"		""	""	""	""	""	""
"Failles de laine"	8	"8"	"failles faittes"	""	""	""	""
"Faisans"		""	""	""	""	""	""
"Faisant"		""	""	""	""	""	""
"Falquieres de mulets"		""	""	""	""	""	""
"Faltranck suisse"	5	"5"	""	""	""	""	""
"Fanailes"		""	""	""	""	""	""
"Farces a drapier"		""	""	""	""	""	""
"Farine"	0	"0a"	"farine"	""	""	""	""
"Farine ; de bouquette"		""	""	""	""	""	""
"Farine ; de froment"		""	""	""	""	""	""
"Farine ; de sarrasin"		""	""	""	""	""	""
"Farine ; de sarrazin"		""	""	"..."	"0"	"0a"	""
"Farine ; dite gruau"		""	""	""	""	""	""
"Farine ; ordinaire"		""	""	"..."	"0"	"0a"	""
"Farine et biscuits de mer"		""	""	""	""	""	""
"Farine et pâtes d'Italie"		""	""	""	""	""	""
"Farine, biscuits de mer et pâtes d'Italie"		""	""	"..."	"0"	"0a"	""
"Fascine ; de bois"	6	"6"	""	""	""	""	""
"Faucilles"		""	""	""	""	""	""
