marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_rg	marchandises	marchandises_normalisees_inter	product_prix	dutchtranslation	englishproduct	unit	source_RG_1774	source_RGbase	source_France	_merge
"Lin ; vert ; roui et non roui"	"Lin"	"2"	"2"	""	2	"2"	""	""	"lin verd roui et non roui"	"Lin ; vert ; roui et non roui"	"flax (crude)"	"vlas (groen, geroot of niet geroot)"	"flax (green, retted or not retted)"	"pounds"	1	1	0	"matched (3)"
"Liqueurs"	"Liqueurs"	"1"	"1"	""		""	""	""	"Liqueurs"	"Liqueurs"	""	""	""	""	0	0	1	"matched (3)"
"Liqueurs ; Diverses"	"Liqueurs ; Diverses"	"1"	"1"	""		""	""	""	"Liqueurs diverses"	"Liqueurs ; Diverses"	""	""	""	""	0	0	1	"matched (3)"
"Liqueurs ; Rhum"	"Liqueurs ; Rhum"	"1"	"1"	""		""	""	""	"Liqueurs ; Rhum"	"Liqueurs ; Rhum"	""	""	""	""	0	0	1	"matched (3)"
"Liqueurs ; Sirops"	"Liqueurs ; Sirops"	"1"	"1"	""		""	""	""	"Liqueurs ; Sirops"	"Liqueurs ; Sirops"	""	""	""	""	0	0	1	"matched (3)"
"Liqueurs ; Sirops ; Fins"	"Liqueurs ; Sirops ; Fins"	"1"	"1"	""		""	""	""	"Liqueurs ; sirop ; Fins"	"Liqueurs ; Sirops ; Fins"	""	""	""	""	0	0	1	"matched (3)"
"Liqueurs ; Sirops ; Mélasse"	"Liqueurs ; Sirops ; Mélasse"	"1"	"1"	""		""	""	""	"Liqueurs ; Sirops ; Melasse"	"Liqueurs ; Sirops ; Mélasse"	""	""	""	""	0	0	1	"matched (3)"
"Liqueurs ; Sirops ; Mélasse étranger"	"Liqueurs ; Sirops ; Mélasse étranger"	"1"	"1"	""		""	""	""	"Liqueurs ; sirop ; Melasse étranger"	"Liqueurs ; Sirops ; Mélasse étranger"	""	""	""	""	0	0	1	"matched (3)"
"Liqueurs ; Tafia"	"Liqueurs ; Tafia"	"1"	"1"	""		""	""	""	"Liqueurs ; Taffin"	"Liqueurs ; Tafia"	""	""	""	""	0	0	1	"matched (3)"
"Liqueurs ; distillées"	"Liqueurs ; distillées"	"1"	"1"	""	1	"1"	""	""	"liqueurs distillées"	"Liqueurs ; distillées"	""	"gedistilleerde likeuren"	"spirituous liquors"	"guilders"	1	1	0	"matched (3)"
"Lisière"	"Lisière"	"6"	"6"	""	7	"7"	""	""	"litières"	"Lisière"	""	"draagstoelen"	"litters"	"pieces"	1	1	0	"matched (3)"
"Lisière ; de drap"	"Lisière"	"6"	"6b"	""		""	""	""	"Lizieres ; de drap"	"Lisière ; de drap"	""	""	""	""	0	0	1	"matched (3)"
"Lisière ; de velours"	"Lisière"	"6"	"6c"	""		""	""	""	"Lizieres ; de velour"	"Lisière ; de velours"	""	""	""	""	0	0	1	"matched (3)"
"Lisières et rognures ; de drap"	"Lisières et rognures ; de drap"	"6"	"6b"	"rognure et lisière de drap"	6	"6b"	"rognure et lisière de drap"	""	"lisières et rognures de drap"	"Lisières et rognures ; de drap"	""	"laken (zomen en snippers)"	"snips and rags of broadcloth"	"guilders"	1	1	0	"matched (3)"
"Lissoirs de verre"	"Lissoirs de verre"	"…"	"…"	""		""	""	""	"Lissoirs de verre"	"Lissoirs de verre"	""	""	""	""	0	0	1	"matched (3)"
"Lit ; garny"	"Lit"	"8"	"8"	""		""	""	"..."	"Lit ; garny"	"Lit ; garny"	""	""	""	""	0	0	1	"matched (3)"
"Litarge"	"Litarge"	"…"	"…"	""		""	""	""	"litarge"	"Litarge"	""	"loodglit"	"litharge"	"pounds"	1	1	0	"matched (3)"
"Lits ; de Bourre"	"Lit"	"8"	"8"	""		""	""	""	"Lits ; de bours"	"Lits ; de Bourre"	""	""	""	""	0	0	1	"matched (3)"
"Lits ; de Bourre de chèvre"	"Lit"	"8"	"8"	""		""	""	""	"Lits de bourre de chevre"	"Lits ; de Bourre de chèvre"	""	""	""	""	0	0	1	"matched (3)"
"Lits ; de fer"	"Lit"	"8"	"8"	""		""	""	"..."	"Lits de fer"	"Lits ; de fer"	""	""	""	""	0	0	1	"matched (3)"
"Lits ; de plumes"	"Lit"	"8"	"8"	""		""	""	""	"lits de plumes"	"Lits ; de plumes"	""	"vederbedden"	"feather beds"	"pieces"	1	0	1	"matched (3)"
"Livre ; en blanc"	"Livre"	"8"	"8"	""		""	""	""	"Livre en bleme"	"Livre ; en blanc"	""	""	""	""	0	0	1	"matched (3)"
"Livre ; relié"	"Livre"	"8"	"8"	""	8	"8"	""	""	"livres liés"	"Livre ; relié"	""	"boeken (ingebonden)"	"books (binded)"	"pounds"	1	1	0	"matched (3)"
"Livre ; non relié"	"Livre"	"8"	"8"	""	8	"8"	""	""	"livres non liés"	"Livre ; non relié"	""	"boeken (niet ingebonden)"	"books (not binded)"	"pounds"	1	1	0	"matched (3)"
"Liège"	"Liège"	"2"	"2"	""		""	""	"..."	"Liége"	"Liège"	""	""	""	""	0	0	1	"matched (3)"
"Liège ; En bouchons"	"Liège ; En bouchons"	"6"	"6"	""	6	"6"	""	""	"Liège ; En bouchons"	"Liège ; En bouchons"	""	""	""	""	0	0	1	"matched (3)"
"Lièvres"	"Gibier"	"0"	"0a"	""		""	""	"…"	"Lievres"	"Lièvres"	""	""	""	""	0	0	1	"matched (3)"
"Locque"	"Locque"	"2"	"2"	"locques à faire papier"	2	"2"	"locques à faire papier"	""	"locques"	"Locque"	""	"lompen"	"rags"	"guilders"	1	1	0	"matched (3)"
"Loupins"	"Loupins"	"0"	"0a"	""		""	""	"..."	"Loupins"	"Loupins"	""	""	""	""	0	0	1	"matched (3)"
"Lunettes"	"Lunettes"	"8"	"8"	""		""	""	""	"Lunettes"	"Lunettes"	""	""	""	""	0	0	1	"matched (3)"
"Lustre"	"Lustre"	"8"	"8"	""		""	""	""	"Lustres"	"Lustre"	""	""	""	""	0	0	1	"matched (3)"
"Lustre ; de Venise"	"Lustre"	"8"	"8"	""		""	""	""	"Lustres ; de venise"	"Lustre ; de Venise"	""	""	""	""	0	0	1	"matched (3)"
"Lustre ; de cristal et verre"	"Lustre"	"8"	"8"	"lustres de cristal"	8	"8"	"lustres de cristal"	""	"lustre de cristal et verre"	"Lustre ; de cristal et verre"	""	"luchters (kristal en glas)"	"glass and crystal chandeliers"	"guilders"	1	0	0	"matched (3)"
"Lustrine"	"Lustrine"	"…"	"…"	""		""	""	""	"Lustrine"	"Lustrine"	""	""	""	""	0	0	1	"matched (3)"
"Luzes"	"Luzes"	"…"	"…"	""		""	""	""	"Luzes"	"Luzes"	""	""	""	""	0	0	1	"matched (3)"
"Légume"	"Légume"	"0"	"0a"	""		""	""	""	"Légumes"	"Légume"	""	""	""	""	0	0	1	"matched (3)"
"Légume ; divers"	"Légume"	"0"	"0a"	""		""	""	""	"Légumes divers"	"Légume ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Légume ; sec"	"Légume"	"0"	"0a"	""	0	"0a"	""	""	"legumes secs"	"Légume ; sec"	""	"peulvruchten"	"dried legumes"	"pounds"	1	1	0	"matched (3)"
"Légumes"	"Légumes"	"0"	"0a"	""		""	""	""	"1///Subsistances///Légumes"	"Légumes"	""	""	""	""	0	0	1	"matched (3)"
"Légume ; mêlé"	"Légume"	"0"	"0a"	""	0	"0a"	""	""	"legumes mellées"	"Légume ; mêlé"	""	"groenten (allerlei)"	"vegetables (miscellaneous)"	"chevalée"	1	1	0	"matched (3)"
"Légume ; à la daube"	"Légume"	"0"	"0a"	""	0	"0a"	""	""	"legumes en adobe"	"Légume ; à la daube"	""	"stoofgroenten (champignons en moriljes inbegr.)"	"vegetables in sauce"	"pounds"	1	1	0	"matched (3)"
"Machicot"	"Machicot"	"6"	"6"	""		""	""	""	"Machicot"	"Machicot"	""	""	""	""	0	0	1	"matched (3)"
"Macis"	"Macis"	"0"	"0b"	"Arille de la noix muscade, surtout utilisé comme aromate ou condiment."		""	""	"..."	"Macis"	"Macis"	""	""	""	""	0	0	1	"matched (3)"
"Maiclais"	"Maiclais"	"…"	"…"	""		""	""	""	"Maiclais"	"Maiclais"	""	""	""	""	0	0	1	"matched (3)"
"Maillicot"	"Maillicot"	"5"	"5"	""	5	"5"	""	""	"maillicot"	"Maillicot"	""	"kleurstoffen (maillicot/massicot)"	"massicot"	"pounds"	1	1	0	"matched (3)"
"Malbroug"	"Malbroug"	"…"	"…"	""		""	""	""	"Malbroug"	"Malbroug"	""	""	""	""	0	0	1	"matched (3)"
"Malemole"	"Malemole"	"…"	"…"	""		""	""	""	"Malemole"	"Malemole"	""	""	""	""	0	0	1	"matched (3)"
"Malles"	"Malles"	"8"	"8"	""		""	""	""	"Malles"	"Malles"	""	""	""	""	0	0	1	"matched (3)"
"Malles ; de cuir"	"Malles"	"8"	"8"	""		""	""	""	"Males ; de cuir"	"Malles ; de cuir"	""	""	""	""	0	0	1	"matched (3)"
"Malles ; travaillées"	"Malles"	"8"	"8"	""		""	""	""	"malles travaillées"	"Malles ; travaillées"	""	"reiskistjes (bewerkt)"	"travel boxes (tooled)"	"guilders"	1	1	0	"matched (3)"
"Malles ; valises et coffres"	"Malles"	"8"	"8"	""	8	"8"	""	""	"malles, valises et coffres"	"Malles ; valises et coffres"	""	"reiskoffers"	"trunks, suitcases and chests"	"guilders"	1	1	0	"matched (3)"
"Malles ; vides"	"Malles"	"8"	"8"	""		""	""	""	"Malles ; vides"	"Malles ; vides"	""	""	""	""	0	0	1	"matched (3)"
"Mallettes ; travaillées"	"Mallettes ; travaillées"	"8"	"8"	""	8	"8"	""	""	"mallettes travaillées"	"Mallettes ; travaillées"	""	"reiskistjes (bewerkt)"	"travel boxes (tooled)"	"guilders"	1	0	0	"matched (3)"
"Manches ; d'alaisnes"	"Manches"	"6"	"6"	""		""	""	""	"Manches ; d'alaisnes"	"Manches ; d'alaisnes"	""	""	""	""	0	0	1	"matched (3)"
"Manches ; de balai"	"Manches"	"6"	"6"	""		""	""	""	"Manches ; de balain"	"Manches ; de balai"	""	""	""	""	0	0	1	"matched (3)"
"Manches ; de fourches et de balais"	"Manches"	"6"	"6"	""	6	"6"	""	""	"manches de fourches et de balais"	"Manches ; de fourches et de balais"	""	"vork- en bezemstelen"	"fork and broom sticks"	"guilders"	1	0	0	"matched (3)"
"Manches ; de gaffe"	"Manches"	"6"	"6"	""		""	""	""	"Manches; de gaffe"	"Manches ; de gaffe"	""	""	""	""	0	0	1	"matched (3)"
"Manches ; de mail"	"Manches"	"6"	"6"	""		""	""	""	"Manches de mail"	"Manches ; de mail"	""	""	""	""	0	0	1	"matched (3)"
"Manches ; de pioche"	"Manches"	"6"	"6"	""		""	""	""	"Manches; de pioche"	"Manches ; de pioche"	""	""	""	""	0	0	1	"matched (3)"
"Manches ; à lave place"	"Manches"	"6"	"6"	""		""	""	""	"Manches; a lave place"	"Manches ; à lave place"	""	""	""	""	0	0	1	"matched (3)"
"Manchettes"	"Manchettes"	"8"	"8"	""		""	""	""	"Manchelles"	"Manchettes"	""	""	""	""	0	0	1	"matched (3)"
"Manchettes ; brodées"	"Manchettes"	"8"	"8"	""	8	"8"	""	"..."	"manchettes brodées"	"Manchettes ; brodées"	""	"geborduurde handkragen"	"embroidered cuffs"	"pieces"	1	0	0	"matched (3)"
"Manchettes ; de dentelles"	"Manchettes"	"8"	"8"	""		""	""	""	"Manchettes ; de dentelles"	"Manchettes ; de dentelles"	""	""	""	""	0	0	1	"matched (3)"
"Manchettes et mouchoirs ; brodées"	"Manchettes"	"8"	"8"	""	8	"8"	""	""	"manchettes et mouchoirs brodées"	"Manchettes et mouchoirs ; brodées"	""	"geborduurde handkragen en zakdoeken"	"embroidered cuffs and handkerchiefs"	"guilders"	1	0	0	"matched (3)"
"Manchettes et mouchoirs ; de mousseline"	"Manchettes"	"8"	"8"	""	8	"8"	""	""	"manchettes et mouchoirs de mousseline"	"Manchettes et mouchoirs ; de mousseline"	""	"handkragen, zakdoeken en dassen van neteldoek"	"cuffs, handkerchiefs and ties of muslin"	"guilders"	1	0	0	"matched (3)"
"Manchons"	"Manchons"	"6"	"6"	""		""	""	"..."	"Manchons"	"Manchons"	""	""	""	""	0	0	1	"matched (3)"
"Manchons ; communs"	"Manchons"	"8"	"8"	""	8	"8"	""	""	"manchons communs"	"Manchons ; communs"	""	"moffen (gewone, leder)"	"regular muffs"	"pieces"	1	1	0	"matched (3)"
"Manchons ; de martre"	"Manchons"	"8"	"8"	""	8	"8"	""	""	"manchons de martre"	"Manchons ; de martre"	""	"moffen (marter)"	"marten muffs"	"pieces"	1	1	0	"matched (3)"
"Manchons ; de peux de loup et d'ours"	"Manchons"	"8"	"8"	""	8	"8"	""	""	"manchons de peaux de loup et d'ours"	"Manchons ; de peux de loup et d'ours"	""	"bontwerk (moffen), wolf en beer"	"muffs of wolves and bears"	"pieces"	1	0	0	"matched (3)"
"Manchons ; de plumes"	"Manchons"	"8"	"8"	""	8	"8"	""	""	"manchons de plumes"	"Manchons ; de plumes"	""	"moffen (dons)"	"muffs with feathers"	"guilders"	1	1	0	"matched (3)"
"Manchons ; de renard"	"Manchons"	"8"	"8"	""	8	"8"	""	""	"manchons de renard"	"Manchons ; de renard"	""	""	""	""	0	0	0	"matched (3)"
"Manchons ; de tigre"	"Manchons"	"8"	"8"	""	8	"8"	""	""	"manchons de tigres"	"Manchons ; de tigre"	""	"bontwerk (moffen), tijger"	"tiger muffs"	"pieces"	1	0	0	"matched (3)"
"Manchons ; fins"	"Manchons"	"8"	"8"	""		""	""	"..."	"Manchons ; fins"	"Manchons ; fins"	""	""	""	""	0	0	1	"matched (3)"
"Manchons ; laine"	"Manchons"	"8"	"8"	""	8	"8"	""	""	"manchons de laine"	"Manchons ; laine"	""	"moffen (wol)"	"woolen muffs"	"guilders"	1	0	0	"matched (3)"
"Mandarins"	"Mandarins"	"…"	"…"	""		""	""	""	"Mandarins"	"Mandarins"	""	""	""	""	0	0	1	"matched (3)"
"Mandes et berces ; d'osier"	"Mandes et berces ; d'osier"	"8"	"8"	"mandes, panniers et berses/mandes d'ozier"	8	"8"	"mandes, panniers et berses/mandes d'ozier"	""	"mandes et berces d'ozieres"	"Mandes et berces ; d'osier"	""	"baskets (teen)"	"baskets and cradles of Ozieres"	"pieces"	1	1	0	"matched (3)"
"Manganèse"	"Manganèse"	"2"	"2"	""		""	""	""	"Maganaise"	"Manganèse"	""	""	""	""	0	0	1	"matched (3)"
"Manicot"	"Manicot"	"…"	"…"	""		""	""	""	"Manicot"	"Manicot"	""	""	""	""	0	0	1	"matched (3)"
"Manille"	"Manille"	"6"	"6"	"Anneau de fer ou fibre végétale ?"		""	""	"..."	"Manille"	"Manille"	""	""	""	""	0	0	1	"matched (3)"
"Maniquette"	"Maniquette"	"…"	"…"	""		""	""	""	"maniquette"	"Maniquette"	""	"peper (kleine of Senegalese)"	"small pepper"	"pounds"	1	1	0	"matched (3)"
"Manne"	"Manne"	"…"	"…"	""		""	""	""	"Mâne"	"Manne"	""	""	""	""	0	0	1	"matched (3)"
"Manne ; de Calabre"	"Manne ; de Calabre"	"…"	"…"	""		""	""	""	"Mane ; de Calabre"	"Manne ; de Calabre"	""	""	""	""	0	0	1	"matched (3)"
"Manteaux"	"Manteaux"	"8"	"8"	""		""	""	""	"Manteaux"	"Manteaux"	""	""	""	""	0	0	1	"matched (3)"
"Manteaux ; vieux"	"Manteaux"	"8"	"8"	""		""	""	""	"Manteaux ; vieux"	"Manteaux ; vieux"	""	""	""	""	0	0	1	"matched (3)"
"Manteaux ; courts"	"Manteaux"	"8"	"8"	""	8	"8"	""	""	"manteaux courts"	"Manteaux ; courts"	""	"korte manteltjes"	"short cloaks"	"pieces"	1	0	0	"matched (3)"
"Mantelets"	"Mantelets"	"…"	"…"	""		""	""	""	"Mantelets"	"Mantelets"	""	""	""	""	0	0	1	"matched (3)"
"Mantelets ; courts"	"Mantelets"	"…"	"…"	""		""	""	""	"mantelets courts"	"Mantelets ; courts"	""	""	""	""	0	0	0	"matched (3)"
"Mantelets ; de soie"	"Mantelets"	"8"	"8"	""	8	"8"	""	""	"mantelets de soye"	"Mantelets ; de soie"	""	"zijden mantels"	"silk robes"	"pieces"	1	0	0	"matched (3)"
"Maquereau"	"Poisson"	"0"	"0a"	""	0	"0a"	""	""	"macquereau"	"Maquereau"	""	"makreel"	"mackerel"	"pieces"	1	1	0	"matched (3)"
"Maquereaux"	"Poisson"	"0"	"0a"	""		""	""	""	"Maquereaux"	"Maquereaux"	""	""	""	""	0	0	1	"matched (3)"
"Maquereaux ; salés"	"Poisson"	"0"	"0a"	""		""	""	"..."	"Maquereaux salés"	"Maquereaux ; salés"	""	""	""	""	0	0	1	"matched (3)"
"Maquet"	"Maquet"	"…"	"…"	""		""	""	""	"Maquets"	"Maquet"	""	""	""	""	0	0	1	"matched (3)"
"Marbre"	"Marbre"	"…"	"…"	""		""	""	""	"///Industrie étrangère///Marbres"	"Marbre"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; blanc"	"Marbre"	"2"	"2"	""	2	"2"	""	""	"marbre blanc"	"Marbre ; blanc"	""	"marmer (wit)"	"white marble"	"feet?"	1	0	0	"matched (3)"
"Marbre ; brun"	"Marbre"	"2"	"2"	""		""	""	""	"Marbre ; brun"	"Marbre ; brun"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; brut"	"Marbre"	"2"	"2"	""		""	""	"..."	"Marbre; brut"	"Marbre ; brut"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; divers"	"Marbre"	"2"	"2"	""		""	""	"..."	"Marbre ; Divers"	"Marbre ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; en bloc"	"Marbre"	"2"	"2"	"marbre en bloc ou brut"	2	"2"	"marbre en bloc ou brut"	""	"marbre en bloc"	"Marbre ; en bloc"	""	"marmer (ruw of in blok)"	"marble in blocks"	"feet?"	1	1	0	"matched (3)"
"Marbre ; en pierres"	"Marbre ; ouvré"	"6"	"6"	""		""	""	"..."	"Marbre ; en pierres"	"Marbre ; en pierres"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; noir ; travaillé"	"Marbre ; ouvré"	"6"	"6"	""	6	"6"	""	""	"marbre noir travaillé"	"Marbre ; noir ; travaillé"	""	"marmer (zwart, bewerkt)"	"processed black marble"	"pounds"	1	0	0	"matched (3)"
"Marbre ; ouvré"	"Marbre ; ouvré"	"6"	"6"	""		""	""	"..."	"Marbre ; ouvré"	"Ouvrages ; de marbre"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; ouvré ; divers"	"Marbre ; ouvré"	"6"	"6"	""		""	""	"..."	"Marbre ; ouvré ; divers"	"Ouvrages ; de marbre"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; ouvré ; en carreaux"	"Marbre ; ouvré"	"6"	"6"	""		""	""	""	"Marbre; ouvré; en carreaux"	"Ouvrages ; de marbre ; en carreaux"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; ouvré ; en mortier"	"Marbre ; ouvré"	"6"	"6"	""		""	""	""	"Marbre; ouvré; en mortier"	"Ouvrages ; de marbre ; en mortier"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; ouvré ; en tables"	"Marbre ; ouvré"	"6"	"6"	""		""	""	""	"Marbre; ouvré; en tables"	"Ouvrages ; de marbre ; en table"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; ouvré ; à jouer"	"Marbre ; ouvré"	"8"	"8"	""		""	""	""	"Marbre ; ouvré ; a joüer"	"Ouvrages ; de marbre ; à jouer"	""	""	""	""	0	0	1	"matched (3)"
"Marbre ; rouge et gris"	"Marbre ; ouvré"	"2"	"2"	""	2	"2"	""	""	"marbre rouge et gris"	"Marbre ; rouge et gris"	""	"marmer (rood en grijs)"	"red and grey marble"	"feet?"	1	0	0	"matched (3)"
"Marbre ; travaillé"	"Marbre ; ouvré"	"6"	"6"	""	6	"6"	""	""	"marbre travaillé"	"Marbre ; travaillé"	""	"marmer (bewerkt)"	"processed marble"	"guilders"	1	1	0	"matched (3)"
"Marbre ; à jouer"	"Marbre ; ouvré"	"6"	"6"	"merbels à jouer"	6	"6"	"merbels à jouer"	""	"Marbre ; à joüer"	"Marbre ; à jouer"	""	""	""	""	0	0	1	"matched (3)"
"Marc"	"Marc"	"5"	"5"	""		""	""	""	"Mares"	"Marc"	""	""	""	""	0	0	1	"matched (3)"
"Marc ; divers"	"Marc"	"5"	"5"	""		""	""	""	"Mares divers"	"Marc ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Marc d'olive"	"Marc"	"5"	"5"	""		""	""	""	"Marc D'olive"	"Marc d'olive"	""	""	""	""	0	0	1	"matched (3)"
"Marc de raisin"	"Marc"	"5"	"5"	""		""	""	""	"Mar ; de raisin"	"Marc de raisin"	""	""	""	""	0	0	1	"matched (3)"
"Marcassin"	"Marcassin"	"0"	"0a"	""		""	""	""	"marcassin"	"Marcassin"	""	""	""	""	0	0	0	"matched (3)"
"Marcassite"	"Marcassite"	"2"	"2"	"Sulfure de fer"		""	""	"..."	"Marcassitte"	"Marcassite"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises"	"Marchandises"	"…"	"…"	""		""	""	""	"Marchanderie"	"Marchandises"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; blanches"	"Marchandises ; blanches"	"…"	"…"	""		""	""	""	"Marchandises ; blanches"	"Marchandises ; blanches"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; de Montauban"	"Marchandises ; de Montauban"	"…"	"…"	""		""	""	""	"Marchandises ; de Montauban"	"Marchandises ; de Montauban"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; de la cote"	"Marchandises ; de la cote"	"…"	"…"	""		""	""	""	"Marchand ; de la cote"	"Marchandises ; de la cote"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; de modes"	"Marchandises ; de modes"	"…"	"…"	""		""	""	""	"Marchand ; de mode"	"Marchandises ; de modes"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; des Indes"	"Marchandises ; des Indes"	"…"	"…"	""		""	""	""	"///Industrie Générale///Marchandises des indes"	"Marchandises ; des Indes"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; diverses"	"Marchandises"	"…"	"…"	""		""	""	""	"Marchandises diverses à la valeur"	"Marchandises ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; en meubles"	"Marchandises ; en meubles"	"8"	"8"	""		""	""	""	"Marchandises diverses à la valeur ; En meubles"	"Marchandises ; en meubles"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; mêlées"	"Marchandises"	"…"	"…"	""		""	""	""	"Marchandises; meslées"	"Marchandises ; mêlées"	""	""	""	""	0	0	1	"matched (3)"
"Marchandises ; à l'estimation"	"Marchandises"	"…"	"…"	""		""	""	""	"Marchand ; à l'estimation"	"Marchandises ; à l'estimation"	""	""	""	""	0	0	1	"matched (3)"
"Marechauderie"	"Poisson"	"…"	"…"	""		""	""	""	"Marechauderie"	"Marechauderie"	""	""	""	""	0	0	1	"matched (3)"
"Mareule"	"Mareule"	"…"	"…"	""		""	""	""	"Mareule"	"Mareule"	""	""	""	""	0	0	1	"matched (3)"
"Marmites"	"Marmites"	"6"	"6"	""		""	""	""	"Marmittes"	"Marmites"	""	""	""	""	0	0	1	"matched (3)"
"Marmites ; de fer"	"Marmites"	"6"	"6"	""		""	""	""	"Marmittes ; de fer"	"Marmites ; de fer"	""	""	""	""	0	0	1	"matched (3)"
"Marmites ; de fonte"	"Marmites"	"6"	"6"	""		""	""	""	"Marmittes ; de fonte"	"Marmites ; de fonte"	""	""	""	""	0	0	1	"matched (3)"
"Marne"	"Marne"	"2"	"2"	""	2	"2"	""	""	"marne"	"Marne"	""	"stenen (mergel)"	"marl"	"last"	1	1	0	"matched (3)"
"Maroc"	"Maroc"	"6"	"6"	""		""	""	"..."	"Maroc"	"Maroc"	""	""	""	""	0	0	1	"matched (3)"
"Marquise"	"Marquise"	"8"	"8"	"Meuble ?"		""	""	""	"Marquise"	"Marquise"	""	""	""	""	0	0	1	"matched (3)"
"Marron"	"Marron"	"0"	"0a"	""		""	""	""	"Marons"	"Marron"	""	""	""	""	0	0	1	"matched (3)"
"Marron et châtaigne"	"Marron"	"0"	"0a"	""	0	"0a"	""	""	"marons et chataignes"	"Marron et châtaigne"	""	"kastanjes"	"chestnuts"	"pounds"	1	1	0	"matched (3)"
"Marsoin"	"Marsoin"	"…"	"…"	""		""	""	""	"Marsoin"	"Marsoin"	""	""	""	""	0	0	1	"matched (3)"
"Marteau de forge"	"Marteau de forge"	"6"	"6"	""	6	"6"	""	""	"marteaux de forge"	"Marteau de forge"	""	"smeedhamer"	"forging hammer"	"pieces"	1	0	0	"matched (3)"
"Marée ; fraiche"	"Poisson"	"…"	"…"	""		""	""	""	"Marée ; fraiche"	"Marée ; fraiche"	""	""	""	""	0	0	1	"matched (3)"
"Marègue"	"Marègue"	"…"	"…"	""		""	""	""	"Maregne"	"Marègue"	""	""	""	""	0	0	1	"matched (3)"
"Masque"	"Masque"	"8"	"8"	""		""	""	""	"masques"	"Masque"	""	"maskers"	"masks"	"guilders"	1	1	0	"matched (3)"
"Masque ; de Venise"	"Masque"	"8"	"8"	""		""	""	""	"Masques ; de venise"	"Masque ; de Venise"	""	""	""	""	0	0	1	"matched (3)"
"Masque ; commun"	"Masque"	"8"	"8"	""	8	"8"	""	""	"masques fins"	"Masque ; commun"	""	"maskers, fijne"	"fine masks"	"pieces"	1	0	0	"matched (3)"
"Masque ; communs"	"Masque"	"8"	"8"	""	8	"8"	""	""	"masques communs"	"Masque ; communs"	""	"maskers, gewone"	"regular masks"	"pounds"	1	0	0	"matched (3)"
"Masse ; de mail"	"Masse ; de mail"	"…"	"…"	""		""	""	""	"Masses de mail"	"Masse ; de mail"	""	""	""	""	0	0	1	"matched (3)"
"Massicot"	"Massicot"	"2"	"2"	"Protoxyde naturel du plomb pour teintures"		""	""	"..."	"Massicot"	"Massicot"	""	""	""	""	0	0	1	"matched (3)"
"Mastic"	"Mastic"	"2"	"2"	""		""	""	""	"Mastic"	"Mastic"	""	""	""	""	0	0	1	"matched (3)"
"Mastic ; en larmes"	"Mastic ; en larmes"	"2"	"2"	""		""	""	"..."	"Mastic ; en larmes"	"Mastic ; en larmes"	""	""	""	""	0	0	1	"matched (3)"
"Matelas"	"Matelas"	"8"	"8"	""	8	"8"	""	""	"Matelats"	"Matelas"	""	""	""	""	0	0	1	"matched (3)"
"Matelas ; de crin"	"Matelas"	"8"	"8"	""		""	""	""	"Matelats ; de frin"	"Matelas ; de crin"	""	""	""	""	0	0	1	"matched (3)"
"Matelas ; de crin et noppes"	"Matelas"	"8"	"8"	""	8	"8"	""	""	"matelats de crin et de noppes"	"Matelas ; de crin et noppes"	""	"matrassen (paardehaar en noppen)"	"mattresses (horsehair and neps)"	"pieces"	1	0	0	"matched (3)"
"Matelas ; de laine"	"Matelas"	"8"	"8"	""	8	"8"	""	""	"Matelas de laine"	"Matelas ; de laine"	""	""	""	""	0	0	1	"matched (3)"
"Matelas ; vieux"	"Matelas"	"8"	"8"	""		""	""	""	"Matelats ; vieux"	"Matelas ; vieux"	""	""	""	""	0	0	1	"matched (3)"
"Matereaux"	"Mât"	"2"	"2"	""		""	""	""	"Matreaux"	"Matereaux"	""	""	""	""	0	0	1	"matched (3)"
"Matereaux ; ou petits mâts"	"Mât"	"2"	"2"	""		""	""	""	"Matreaux ; ou petits mats"	"Matereaux ; ou petits mâts"	""	""	""	""	0	0	1	"matched (3)"
