source,product_orthographic,product_simplification,product_sitc,product_edentreaty,product_canada,product_medicinales,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,product_RE_aggregate,product_threesectors,product_threesectorsM,nbr_occurences_navigo_marseille_,nbr_occurences_navigo_g5,nbr_occurrences_datasprint
Esparteries,sparterie,sparterie,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Esparts,espars,espars,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,2,0,0
Etain,étain,étain,6j,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Étain,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Métaux,Non-agricultural primary goods,Produits primaires,4,0,0
Etc.,???,???,9c,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Produits inconnus,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,0,2
Etoffes,étoffe,étoffe,6i,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Étoffes diverses,No link with beaver,tissés,bas de gamme,milieu de gamme,Autres filés ou tissés,Other threads and fabrics,Other threads and fabrics,Objets manufacturés,Manufactures,Produits manufacturés,0,3,0
Etoupe,étoupes,étoupes,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,0,2
Export,export,export,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,1,0,0
Fagot,fagots,fagots,3,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,Matières premières,Non-agricultural primary goods,Produits primaires,0,1,2
Fagots,fagots,fagots,3,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,Matières premières,Non-agricultural primary goods,Produits primaires,0,81,193
Fagots de fourage,fagots de fourrages,fourrages en fagots,,,,,,,,,,,,Matières premières diverses,,,,,,,,Matières premières,Non-agricultural primary goods,Produits primaires,0,0,2
Faince [faïence],faïence,faïence,6k,"Porcelaine, Fayance, Poterie",Hors Canada,not a medical product,,Pas grain (0),not raw cotton,fayence,Not coffee,Substitut 1 de la porcelaine,out,"Porcelaine, poterie, faïence et ouvrages de terre",No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,0,4
Faire la course aux fraudeurs,faire la course aux fraudeurs,faire la course aux fraudeurs,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Faire la pêche [au poisson frais],faire la pêche au poisson frais,faire la pêche au poisson frais,,,,,,,,,,,,Pêche et fruits de mer,,,,,,,,Subsistances,Agriculture,Produits agricoles,0,0,4
Fanons,fanon,fanon,9c,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Produits inconnus,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Farine,farine,farine,0a,,Hors Canada,not a medical product,,Grains transformés (5),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Farine, gruau, biscuits et pâtes",No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,60,408,82
Farines,farine,farine,0a,,Hors Canada,not a medical product,,Grains transformés (5),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Farine, gruau, biscuits et pâtes",No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,3,4
Fayance,faïence,faïence,6k,"Porcelaine, Fayance, Poterie",Hors Canada,not a medical product,,Pas grain (0),not raw cotton,fayence,Not coffee,Substitut 1 de la porcelaine,out,"Porcelaine, poterie, faïence et ouvrages de terre",No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,2,0,0
Fayence,faïence,faïence,6k,"Porcelaine, Fayance, Poterie",Hors Canada,not a medical product,,Pas grain (0),not raw cotton,fayence,Not coffee,Substitut 1 de la porcelaine,out,"Porcelaine, poterie, faïence et ouvrages de terre",No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Fayots,fayots,haricots,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Substituts (4),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Légumes,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Faïence,faïence,faïence,6k,"Porcelaine, Fayance, Poterie",Hors Canada,not a medical product,,Pas grain (0),not raw cotton,fayence,Not coffee,Substitut 1 de la porcelaine,out,"Porcelaine, poterie, faïence et ouvrages de terre",No link with beaver,,,,"Articles minéraux non métalliques manufacturés, n.d.a.",Other industrial products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,2,2
Feave [fèves],fèves,fèves,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Substituts (4),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Graines diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Matières premières,Agriculture,Produits agricoles,0,0,6
Feaves [fèves],fèves,fèves,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Substituts (4),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Graines diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Matières premières,Agriculture,Produits agricoles,0,0,8
Fer,fer,fer,6j,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Fer,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fer,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Métaux,Non-agricultural primary goods,Produits primaires,67,56,4
Fer blanc,fer-blanc,fer-blanc,6j,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Fer,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fer-blanc,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Métaux,Non-agricultural primary goods,Produits primaires,0,2,0
Feuillard,feuillards,feuillards,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,1,48,84
Feuillards,feuillards,feuillards,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,18,0
Feve,fèves,fèves,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Substituts (4),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Graines diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Matières premières,Agriculture,Produits agricoles,2,4,0
Feves,fèves,fèves,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Substituts (4),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Graines diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Matières premières,Agriculture,Produits agricoles,1,0,2
Feüillards,cervelas,cervelas,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Chairs et œufs,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,3,0
Fideaux,fideau,fideau,9c,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Produits inconnus,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,110,0,0
Fiente de pigeon,fèves,fèves,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Substituts (4),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Graines diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Matières premières,Agriculture,Produits agricoles,0,1,0
Figues,figue,figue,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits frais,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,2,1,0
Filet d'espart,filets d'espars,filets d'espars,6d,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cordage et filets,No link with beaver,filés,,,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,Other threads and fabrics,Industrie française et étrangère,Manufactures,Produits manufacturés,5,0,0
Filets,filets,filets,6d,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cordage et filets,No link with beaver,,,,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,Other threads and fabrics,Industrie française et étrangère,Manufactures,Produits manufacturés,0,132,0
Filets [de pêche],filets de pêche,filets à pêcher,6d,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cordage et filets,No link with beaver,filés,,,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,Other threads and fabrics,Industrie française et étrangère,Manufactures,Produits manufacturés,0,20,0
Filets d'espart,filets d'espars,filets d'espars,6d,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cordage et filets,No link with beaver,filés,,,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,Other threads and fabrics,Industrie française et étrangère,Manufactures,Produits manufacturés,3,0,0
Filets de pêche,filets de pêche,filets à pêcher,6d,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cordage et filets,No link with beaver,filés,,,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,Other threads and fabrics,Industrie française et étrangère,Manufactures,Produits manufacturés,0,3,0
Filets pour la pêche au poisson frais,filets pour la pêche au poisson frais,filets à pêcher le poisson frai,6d,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Cordage et filets,No link with beaver,,,,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,Other threads and fabrics,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Fils de chanvre,fil de chanvre,fil de chanvre,6d,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fils divers,No link with beaver,filés,,,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",Linen threads and fabrics,Other threads and fabrics,Matières premières,Manufactures,Produits manufacturés,1,0,0
